,Unnamed: 0,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon,geometry,code_words,cw_present
0,0,Well kept 6 units in Prime Boyle Heights - 40% UPSIDE IN RENTS,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/reb/d/los-angeles-well-kept-units-in-prime/7313126654.html""></div>
</div>
well kept 6 units in prime boyle heights - 40% upside in rents<br/>
<br/>
for more information about this listing and to view all properties in the area for free, please visit my website at: <br/>
www.ips-la.com<br/>
<br/>
gabriela manakova <br/>
innovative property strategies<br/>
local real estate expert<br/>
<a class=""show-contact"" data-href=""/reply/lax/reb/7313126654/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
dre# 01327946    </section>", (Boyle Heights/Los Angeles),"$1,650,000",,,https://losangeles.craigslist.org/wst/reb/d/los-angeles-well-kept-units-in-prime/7313126654.html,34.0487,-118.2084,POINT (-118.2084 34.0487),prime,True
1,1,A Newly Remodeled Boyle Heights Community - ONE-MONTH FREE! o.a.c.,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-boyle/7326386908.html""></div>
</div>
come home to azure heights! this newly renovated building is designed with convenience and modern comfort in mind. the stylish interiors are designed to comfort with hardwood flooring, ample closet space, large mirrors, stainless steel appliances, a/c and heating. this building features essential amenities like on-site gated parking, elevator, beautifully landscaped outdoor spaces and laundry rooms on each floor. tucked away in historic boyle heights community, these apartments are minutes to downtown la, the 10 freeway, keck medicine of usc, east los angeles college and much more! we have several layouts to choose, one will be yours!<br/>
<br/>
contact us for a tour! visit the azure heights today and take advantage of all it has to offer. you’ll see that the azure heights is the perfect place to call home. ask edward about your move-in special!<br/>
<br/>
apartment amenities<br/>
- brand new flooring<br/>
- a/c unit<br/>
- ceiling fans<br/>
- stainless steel refrigerator<br/>
- stainless steel stove<br/>
- stainless steel dishwasher<br/>
- stainless steel microwave<br/>
- brand-new countertops<br/>
<br/>
building amenities<br/>
- gated assigned parking<br/>
- on-site laundry on each floor<br/>
- on-site manager<br/>
- elevator<br/>
- landscaped outdoor spaces<br/>
<br/>
pet policy: pets welcome!<br/>
- 25lb weight maximum/breed restriction<br/>
- $250 pet deposit<br/>
- $35 pet rent<br/>
<br/>
rental terms<br/>
base rent: $1,550<br/>
application fee: $35<br/>
security deposit: $1,550 (o.a.c.)<br/>
utilities: rubs<br/>
<br/>
call  <a class=""show-contact"" data-href=""/reply/lax/apa/7326386908/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 ext. 237 and ask edward about your move-in special and to schedule a showing!    </section>", (Los Angeles),"$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-boyle/7326386908.html,34.0487,-118.2084,POINT (-118.2084 34.0487),modern,True
2,2,Newly Remodeled Large 1 Bed + 1 Bath located in lovely Boyle Heights,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-remodeled-large-bed/7319597372.html""></div>
</div>
<p> <b><u>contact info:</u></b> <br/> <b>esther |  <a class=""show-contact"" data-href=""/reply/lax/apa/7319597372/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 | www.jnmrealty.com </b></p><h1> beautiful remodeled 1 bed + 1 bath </h1><h2>2605 1/2 michigan ave los angeles ca 90033</h2><h2>$1,395/mo</h2><p> <b><big><u>key features</u></big></b> <br/> <b>bedrooms: </b> 1<br/> <b>bathrooms: </b>1 bath<br/> <b>lease duration: </b> 1 year (see details below)<br/> <b>deposit: </b> $1,645<br/> <b>pets policy: </b> dogs &amp; cats accepted <br/> <b>property type: </b> house<br/> <br/> <b><u>description</u></b><hr/><br/><br/>newly remodeled large 1 bed + 1 bath located in lovely quiet boyle heights neighborhood. spacious airy unit with lots of natural light featuring a patio. entire unit has been newly updated. unit features new remodeled kitchen with updated countertops, stainless steel appliances, new laminate flooring throughout unit, remodeled modern bathroom, lots of closet space, and more. prime location. couple blocks from main freeway entrance. near: usc (university of southern california), downtown la, arts district, fashion district, fidm (fashion institute of design &amp; merchandising), and more.<br/> <br/>*lease amount is inclusive of a $250 per month concession for the first 12 months.*
 

<br/><br/>for any questions, viewings, or info please text or contact esther at  <a class=""show-contact"" data-href=""/reply/lax/apa/7319597372/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/> <br/> <b>rental features</b><hr/><ul><li>new flooring</li><li>entire apartment remodeled</li><li> lots of natural light</li><li>spacious</li></ul><br/> <b><u>contact info: </u></b><br/> <b> esther<br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7319597372/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/> www.jnmrealty.com <br/> </b></p> </section>", (Los Angeles),"$1,395",1.0,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-remodeled-large-bed/7319597372.html,34.044188,-118.206152,POINT (-118.206152 34.044188),modern,True
3,3,"Modern Studio in Boyle Heights, Newly Renovated","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-modern-studio-in-boyle/7323116897.html""></div>
</div>
ask about our move-in specials!!<br/>
<br/>
2025 e 4th street is a 24-unit apartment building located in the boyle heights sub-market, one of the most vibrant, historical and walkable neighborhoods in los angeles; known for its extensive art, culturally rich cuisine, and central location. located directly across from hollenbeck park these newly state-of-the-art renovated apartments are yours to call home.<br/>
<br/>
the units are freshly painted throughout and have brand new floors, recessed lighting, and ceiling fans. each unit has a large walk-in closet and newly installed blinds. the kitchen has brand new countertops, cabinets, stainless steel stove, fridge, and nice fixtures. the bathrooms are brand new and clean with large white marble tile! there is laundry on-site and street parking only.<br/>
<br/>
our professional leasing staff is ready to help match you with your perfect home.    </section>", (Boyle Heights),"$1,295",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-modern-studio-in-boyle/7323116897.html,34.04269,-118.216412,POINT (-118.216412 34.04269),modern,True
4,4,On The Other Side Of Downtown Is The Authentic Community Boyle Heights,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-the-other-side-of/7318194217.html""></div>
</div>
<big>
<big>
<b>the azure heights: a newly remodeled boyle heights community</b>
</big>
</big>
<br/>
<br/>
<b>property address</b>
<br/>
2736 pomeroy avenue  - 101 | los angeles, ca 90033
<br/>

  available: now

<br/>
<br/>
<b>offered by</b>
<br/>
2736 pomeroy, llc
<br/>
<br/>
<hr/>
<br/>
<b>description</b>
<blockquote>
    come home to azure heights! this newly renovated building is designed with convenience and modern comfort in mind. the stylish interiors are designed to comfort with hardwood flooring, ample closet space, large mirrors, stainless steel appliances, a/c and heating. this building features essential amenities like on-site gated parking, elevator, beautifully landscaped outdoor spaces and laundry rooms on each floor. tucked away in historic boyle heights community, these apartments are minutes to downtown la, the 10 freeway, keck medicine of usc, east los angeles college and much more!
<br/>
<br/>contact us for a tour!  visit the azure heights today and take advantage of all it has to offer.  you’ll see that the azure heights is the perfect place to call home.”
<br/>
<br/>apartment amenities 
<br/>brand new flooring
<br/>a/c unit
<br/>ceiling fans
<br/>stainless steel refrigerator 
<br/>stainless steel stove
<br/>stainless steel dishwasher
<br/>stainless steel microwave
<br/>brand-new countertops
<br/>
<br/>building amenities    
<br/>gated assigned parking 
<br/>on-site laundry on each floor
<br/>on-site manager
<br/>elevator
<br/>landscaped outdoor spaces
<br/>
<br/>pet policy:
<br/>pets welcome
<br/>25lb weight maximum
<br/>$250 pet deposit
<br/>$35 pet rent
<br/>
<br/>rental terms
<br/>base rent: $1650
<br/>12-month lease
<br/>application fee: $35
<br/>security deposit: $1650 on approved credit
<br/>available: now
<br/>utilities: rubs 
<br/>
<br/>call or text  <a class=""show-contact"" data-href=""/reply/lax/apa/7318194217/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or email martisa to schedule a showing! virtual tours also available!
<br/>
</blockquote>
<b>amenities</b>
<ul>
<li>on-site manager</li>
<li>assigned parking</li>
<li>on-site laundry</li>
</ul>
<b>details</b>
<ul>
<li>beds/baths: 1bd/1.0ba</li>
</ul>
<b>rental terms</b>
<ul>
<li>rent: $1,550.00 

    <li>available: now
    <li>application fee: $35.00
    <li>security deposit: $1,550.00

  </li></li></li></li></ul>
<b>pet policy</b>
<ul>
<li>cats allowed</li>
<li>small dogs allowed</li>
</ul>
 </section>", (Boyle Heights),"$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-the-other-side-of/7318194217.html,34.053238,-118.19666,POINT (-118.19666 34.053238),modern,True
5,5,The New Boyle Heights Upgrades Galore 1+1,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-new-boyle-heights/7324290486.html""></div>
</div>
<big>
<big>
<b>the azure heights: a newly remodeled boyle heights community</b>
</big>
</big>
<br/>
<br/>
<b>property address</b>
<br/>
2736 pomeroy avenue  - 301 | los angeles, ca 90033
<br/>

  available: now

<br/>
<br/>
<b>offered by</b>
<br/>
2736 pomeroy, llc
<br/>
<br/>
<hr/>
<br/>
<b>description</b>
<blockquote>
    move in special one month free inquire for details
<br/>
<br/>come home to azure heights! this newly renovated building is designed with convenience and modern comfort in mind. the stylish interiors are designed to comfort with hardwood flooring, ample closet space, large mirrors, stainless steel appliances, a/c and heating. this building features essential amenities like on-site gated parking, elevator, beautifully landscaped outdoor spaces and laundry rooms on each floor. tucked away in historic boyle heights community, these apartments are minutes to downtown la, the 10 freeway, keck medicine of usc, east los angeles college and much more!
<br/>
<br/>contact us for a tour! visit the azure heights today and take advantage of all it has to offer. you’ll see that the azure heights is the perfect place to call home.”
<br/>
<br/>apartment amenities
<br/>brand new flooring
<br/>a/c unit
<br/>ceiling fans
<br/>stainless steel refrigerator
<br/>stainless steel stove
<br/>stainless steel dishwasher
<br/>stainless steel microwave
<br/>brand-new countertops
<br/>
<br/>building amenities
<br/>gated assigned parking
<br/>on-site laundry on each floor
<br/>on-site manager
<br/>elevator
<br/>landscaped outdoor spaces
<br/>
<br/>pet policy:
<br/>pets welcome
<br/>25lb weight maximum
<br/>$250 pet deposit
<br/>$35 pet rent
<br/>
<br/>rental terms
<br/>base rent: $1650
<br/>12-month lease
<br/>application fee: $35
<br/>security deposit: $1650 on approved credit 
<br/>available: now
<br/>utilities: rubs
<br/>
<br/>call or text  <a class=""show-contact"" data-href=""/reply/lax/apa/7324290486/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or email martisa to schedule a showing! virtual tours also available!
  </blockquote>
<b>amenities</b>
<ul>
<li>on site laundry room</li>
<li>on site parking</li>
<li>assigned parking</li>
</ul>
<b>details</b>
<ul>
<li>beds/baths: 1bd/1.0ba</li>
</ul>
<b>rental terms</b>
<ul>
<li>rent: $1,600.00 

    <li>available: now
    <li>application fee: $35.00
    <li>security deposit: $1,600.00

  </li></li></li></li></ul>
<b>pet policy</b>
<ul>
<li>cats allowed</li>
<li>small dogs allowed</li>
</ul>
 </section>", (Boyle Heights),"$1,600",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-new-boyle-heights/7324290486.html,34.053238,-118.19666,POINT (-118.19666 34.053238),modern,True
6,6,Boyle Heights Studio at 105 S Mathews Street,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-boyle-heights-studio-at-105/7325843694.html""></div>
</div>
<br/>
<b>available july 1, 2021</b>
<br/>
<br/>
<b>2 months security</b>
<b>deposit required</b>
<br/>
<br/>
unfurnished studio rooms above retail store<br/>
<br/>
refrigerator and stove included<br/>
<br/>
tenant pays for electricity<br/>
<br/>
water, gas, &amp; trash included.<br/>
<br/>
coin operated laundry machines<br/>
<br/>
security deposit; amount determined after credit check (minimum 1 months rent)<br/>
<br/>
good credit applicants only!<br/>
<br/>
<br/>
<br/>
rental procedures:<br/>
<br/>
step 1:	contact,  <a class=""show-contact"" data-href=""/reply/lax/apa/7325843694/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 (recording)<br/>
<br/>
step 2:	rental application &amp; credit authorization forms available at viewing only!<br/>
<br/>
step 3:	schedule appointment to submit completed forms and copies of documents for review.<br/>
<br/><li> provide $40.00 per credit report</li>
                (copies not accepted--fee non-refundable)<br/>
<br/><li> drivers license or identification card</li><br/>
<li>social security</li><br/>
<li>other documents</li>
<br/>
step 4:	meet with management to sign rental agreement contract, house rules and get keys.<br/>
<br/>
<b>***applications provided at viewing.  room sizes and layout are slightly different, must view--no pictures provided.***<br/></b>
<br/>
****we do not respond to e-mails****    </section>"," (105 S. Mathews Street, Boyle Heights)","$1,375",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-boyle-heights-studio-at-105/7325843694.html,34.043105,-118.208485,POINT (-118.208485 34.043105),security,True
7,7,work and live loft boyle heights,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-work-and-live-loft-boyle/7325755003.html""></div>
</div>
work and live loft in boyle heights.  high ceiling (15 feet) ,  centrally located to 10, 60, 5 101, and 710 freeways,  brand new full bathroom and kitchentte   call  <a class=""show-contact"" data-href=""/reply/lax/apa/7325755003/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a><br/>
   big open space / divisible    close to metro to the ocean    </section>"," (Los Angeles, CA)","$1,450",1.0,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-work-and-live-loft-boyle/7325755003.html,34.023962,-118.191755,POINT (-118.191755 34.023962),central,True
8,8,NO SECURITY DEPOSIT!!! SHARED HOUSE/HOSTEL (Boyle Heights),"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/roo/d/los-angeles-no-security-deposit-shared/7325124074.html""></div>
</div>
cozy, three-bedroom bungalow set up like a european hostel in the heart of boyle heights has spots available now.  three bedrooms, all coed, all shared.  free wifi (1,000mbps).  house is 420 friendly.  however, all cutting, wrapping, and smoking of marijuana or cigarettes is done outside on the front patio only.  fully equipped kitchen for you to prepare your meals.  house is fully furnished.  two full bathrooms.  clean, quiet house.  there’s always a decent, friendly, hardworking group of residents.  no sketches!  perfect for students, frugal travelers, creatives, and people seeking to stack their bread to move into a more “traditional” living situation.<br/>
<br/>
super close to public transportation, both train and bus.  five minutes away from the arts district and downtown los angeles.  720 bus right outside goes all the way to santa monica beach.<br/>
<br/>
no security deposit!<br/>
no rental agreements!<br/>
<br/>
$550 per month, no additional charges or fees<br/>
no security deposit, no credit checks!  just need to be over 18 years of age with valid id<br/>
<br/>
no drugs.  no sex offenders.  no couples.  no children.<br/>
<br/>
serious inquiries only!  <br/>
<br/>
call, text, or email cynthia.<br/>
</section>", (BOYLE HEIGHTS),$550,3.0,,https://losangeles.craigslist.org/lac/roo/d/los-angeles-no-security-deposit-shared/7325124074.html,34.036312,-118.220006,POINT (-118.220006 34.036312),security,True
9,9,All Inclusive Furnished Studio / 1 Bath in Boyle Heights!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-all-inclusive-furnished/7325031087.html""></div>
</div>
<big>
<big>
<b>all inclusive furnished studio / 1 bath in boyle heights!</b>
</big>
</big>
<br/>
<br/>
<b>property address</b>
<br/>
150 n soto street # 215 | los angeles, ca 90033
<br/>
<br/>
<br/>
<b>offered by</b>
<br/>
altman apartments llc (soto)
<br/>
<br/>
<hr/>
<br/>
<b>description</b>
<blockquote>
    welcome to your new fully furnished &amp; all inclusive home!
<br/>
<br/>location:
<br/>150 n soto street # 215
<br/>los angeles, ca 90033
<br/>
<br/>rental info:
<br/>studio / 1 bath with full kitchen &amp; bathroom : $1,250
<br/>deposit: $1,250
<br/>lease term: 6 or 12 month lease options available
<br/>
<br/>you are welcome to tour the property and unit during our open house hours every monday, tuesday, wednesday and saturday from 5:00pm-6:00pm.
<br/>
<br/>please contact our friendly property manager federico at  <a class=""show-contact"" data-href=""/reply/lax/apa/7325031087/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 with any questions or to coordinate a time to see the apartment in case the open house times don’t work for your busy schedule and we will do our best to accommodate you! thursday and friday viewings are by appointment only.
<br/>
<br/>apply today online at http://rentyourhome.weebly.com.
<br/>
<br/>features
<br/>
<br/>fully furnished
<br/>linens &amp; towels included
<br/>32"" flat screen tv, cable tv, internet, all utilities are included
<br/>refrigerator and microwave included
<br/>onsite manager
<br/>walk to restaurants, apparel shops, &amp; more
<br/>metro light rail soto station one block away!
<br/>nearby parks
<br/>nearby schools
<br/>urban feel / city views
<br/>minutes to downtown la &amp; arts district!
<br/>plenty of public transit, no need to drive!
<br/>newly remodeled kitchen!
<br/>
<br/>about 150 n soto street property
<br/>
<br/>our location is in the heart of boyle heights, a neighborhood just east of downtown la (just over one mile to the arts district across the la river). the lifestyle here is very rich in urban amenities styling itself after it's brooklyn namesake. the street is very walk-able with an eclectic and vibrant mix of locally owned retail shops and restaurants in abundance. get serenaded by live mariachi music while sipping a horchata from locally owned restaurants on the street!
<br/>
<br/>this apartment is all inclusive and fully furnished and all utilities are paid for by the owner. units have laminate flooring, vertical blinds, ceiling fan, new fridge and microwave, queen sized bed, and are freshly painted. common area kitchen is located on each floor and is available for everybody to use.
<br/>
<br/>well served by public transportation: walk 2 minutes to soto light rail station straight to arts district, little tokyo, or no time to catch a bus to dtla. it is incredibly easy to get around this town!
<br/>
<br/>approval is based on income (must show proof of income at least twice the monthly rent), rental history, criminal background (no felonies), &amp; no evictions. credit scores are not as important as these other factors in evaluating applications. please apply today!
  </blockquote>
<b>amenities</b>
<ul>
<li>vertical blinds</li>
<li>laminate flooring</li>
<li>ceiling fan</li>
<li>closet</li>
<li>all inclusive</li>
<li>fully furnished</li>
<li>vending machines on site</li>
<li>laundry on site</li>
<li>remodeled kitchen</li>
</ul>
<b>details</b>
<ul>
<li>beds/baths: 1.0ba</li>
<li>square feet: 249</li>
</ul>
<b>rental terms</b>
<ul>
<li>rent: $1,250.00 

    <li>application fee: $35.00
    <li>security deposit: $1,250.00

  </li></li></li></ul>
<b>pet policy</b>
<ul>
<li>cats not allowed</li>
<li>dogs not allowed</li>
</ul>
 </section>", (Los Angeles),"$1,250",,249.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-all-inclusive-furnished/7325031087.html,34.045127,-118.208797,POINT (-118.208797 34.045127),art,True
