,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon
0,Well kept 6 units in Prime Boyle Heights - 40% UPSIDE IN RENTS,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/reb/d/los-angeles-well-kept-units-in-prime/7313126654.html""></div>
</div>
Well kept 6 units in Prime Boyle Heights - 40% UPSIDE IN RENTS<br/>
<br/>
For more information about this listing and to view all properties in the area for free, please visit my website at: <br/>
www.ips-la.com<br/>
<br/>
Gabriela Manakova <br/>
INNOVATIVE Property Strategies<br/>
Local Real Estate Expert<br/>
<a class=""show-contact"" data-href=""/reply/lax/reb/7313126654/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
DRE# 01327946    </section>", (Boyle Heights/Los Angeles),"$1,650,000",,,https://losangeles.craigslist.org/wst/reb/d/los-angeles-well-kept-units-in-prime/7313126654.html,34.048700,-118.208400
1,A Newly Remodeled Boyle Heights Community - ONE-MONTH FREE! o.a.c.,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-boyle/7326386908.html""></div>
</div>
Come home to Azure Heights! This newly renovated building is designed with convenience and modern comfort in mind. The stylish interiors are designed to comfort with hardwood flooring, ample closet space, large mirrors, stainless steel appliances, A/C and heating. This building features essential amenities like on-site gated parking, elevator, beautifully landscaped outdoor spaces and laundry rooms on each floor. Tucked away in historic Boyle Heights community, these apartments are minutes to Downtown LA, the 10 Freeway, Keck Medicine of USC, East Los Angeles College and much more! We have several layouts to choose, one will be YOURS!<br/>
<br/>
Contact us for a tour! Visit the Azure Heights today and take advantage of all it has to offer. You’ll see that the Azure Heights is the perfect place to call home. Ask Edward about YOUR move-in special!<br/>
<br/>
APARTMENT AMENITIES<br/>
- Brand New Flooring<br/>
- A/C Unit<br/>
- Ceiling Fans<br/>
- Stainless Steel Refrigerator<br/>
- Stainless Steel Stove<br/>
- Stainless Steel dishwasher<br/>
- Stainless Steel Microwave<br/>
- Brand-New Countertops<br/>
<br/>
BUILDING AMENITIES<br/>
- Gated Assigned Parking<br/>
- On-Site Laundry on each floor<br/>
- On-Site Manager<br/>
- Elevator<br/>
- Landscaped Outdoor Spaces<br/>
<br/>
PET POLICY: PETS WELCOME!<br/>
- 25lb Weight Maximum/breed restriction<br/>
- $250 Pet Deposit<br/>
- $35 Pet Rent<br/>
<br/>
RENTAL TERMS<br/>
Base Rent: $1,550<br/>
Application Fee: $35<br/>
Security Deposit: $1,550 (o.a.c.)<br/>
Utilities: RUBS<br/>
<br/>
CALL  <a class=""show-contact"" data-href=""/reply/lax/apa/7326386908/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 ext. 237 and ask Edward about YOUR move-in SPECIAL and to schedule a showing!    </section>", (Los Angeles),"$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-boyle/7326386908.html,34.048700,-118.208400
2,Newly Remodeled Large 1 Bed + 1 Bath located in lovely Boyle Heights,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-remodeled-large-bed/7319597372.html""></div>
</div>
<p> <b><u>Contact info:</u></b> <br/> <b>Esther |  <a class=""show-contact"" data-href=""/reply/lax/apa/7319597372/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 | www.JNMRealty.com </b></p><h1> Beautiful Remodeled 1 Bed + 1 Bath </h1><h2>2605 1/2 Michigan Ave Los Angeles CA 90033</h2><h2>$1,395/mo</h2><p> <b><big><u>KEY FEATURES</u></big></b> <br/> <b>Bedrooms: </b> 1<br/> <b>Bathrooms: </b>1 Bath<br/> <b>Lease Duration: </b> 1 Year (See Details Below)<br/> <b>Deposit: </b> $1,645<br/> <b>Pets Policy: </b> Dogs &amp; Cats accepted <br/> <b>Property Type: </b> House<br/> <br/> <b><u>DESCRIPTION</u></b><hr/><br/><br/>Newly Remodeled Large 1 Bed + 1 Bath located in lovely quiet Boyle Heights neighborhood. Spacious airy unit with lots of natural light featuring a patio. Entire unit has been newly updated. Unit features new remodeled Kitchen with updated countertops, Stainless Steel appliances, new laminate flooring throughout unit, remodeled modern bathroom, Lots of closet space, and more. Prime location. Couple blocks from main freeway entrance. Near: USC (University of Southern California), Downtown LA, Arts District, Fashion District, FIDM (Fashion Institute of Design &amp; Merchandising), and more.<br/> <br/>*Lease amount is inclusive of a $250 per month concession for the first 12 months.*
 

<br/><br/>For any questions, viewings, or info please text or contact Esther at  <a class=""show-contact"" data-href=""/reply/lax/apa/7319597372/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/> <br/> <b>RENTAL FEATURES</b><hr/><ul><li>New flooring</li><li>Entire apartment remodeled</li><li> Lots of natural light</li><li>Spacious</li></ul><br/> <b><u>Contact info: </u></b><br/> <b> Esther<br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7319597372/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/> www.JNMRealty.com <br/> </b></p> </section>", (Los Angeles),"$1,395",1.0,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-remodeled-large-bed/7319597372.html,34.044188,-118.206152
3,"Modern Studio in Boyle Heights, Newly Renovated","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-modern-studio-in-boyle/7323116897.html""></div>
</div>
Ask about our Move-in Specials!!<br/>
<br/>
2025 E 4th Street is a 24-unit apartment building located in the Boyle Heights sub-market, one of the most vibrant, historical and walkable neighborhoods in Los Angeles; known for its extensive art, culturally rich cuisine, and central location. Located directly across from Hollenbeck Park these newly state-of-the-art renovated apartments are yours to call home.<br/>
<br/>
The units are freshly painted throughout and have brand new floors, recessed lighting, and ceiling fans. Each unit has a large walk-in closet and newly installed blinds. The kitchen has brand new countertops, cabinets, stainless steel stove, fridge, and nice fixtures. The bathrooms are brand new and clean with large white marble tile! There is laundry on-site and street parking only.<br/>
<br/>
Our professional leasing staff is ready to help match you with your perfect home.    </section>", (Boyle Heights),"$1,295",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-modern-studio-in-boyle/7323116897.html,34.042690,-118.216412
4,On The Other Side Of Downtown Is The Authentic Community Boyle Heights,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-the-other-side-of/7318194217.html""></div>
</div>
<big>
<big>
<b>The Azure Heights: A Newly Remodeled Boyle Heights Community</b>
</big>
</big>
<br/>
<br/>
<b>Property Address</b>
<br/>
2736 Pomeroy Avenue  - 101 | Los Angeles, CA 90033
<br/>

  Available: Now

<br/>
<br/>
<b>Offered By</b>
<br/>
2736 Pomeroy, LLC
<br/>
<br/>
<hr/>
<br/>
<b>Description</b>
<blockquote>
    Come home to Azure Heights! This newly renovated building is designed with convenience and modern comfort in mind. The stylish interiors are designed to comfort with hardwood flooring, ample closet space, large mirrors, stainless steel appliances, A/C and heating. This building features essential amenities like on-site gated parking, elevator, beautifully landscaped outdoor spaces and laundry rooms on each floor. Tucked away in historic Boyle Heights community, these apartments are minutes to Downtown LA, the 10 Freeway, Keck Medicine of USC, East Los Angeles College and much more!
<br/>
<br/>Contact us for a tour!  Visit the Azure Heights today and take advantage of all it has to offer.  You’ll see that the Azure Heights is the perfect place to call home.”
<br/>
<br/>APARTMENT AMENITIES 
<br/>Brand New Flooring
<br/>A/C Unit
<br/>Ceiling Fans
<br/>Stainless Steel Refrigerator 
<br/>Stainless Steel Stove
<br/>Stainless Steel dishwasher
<br/>Stainless Steel Microwave
<br/>Brand-New Countertops
<br/>
<br/>BUILDING AMENITIES    
<br/>Gated Assigned Parking 
<br/>On-Site Laundry on each floor
<br/>On-Site Manager
<br/>Elevator
<br/>Landscaped Outdoor Spaces
<br/>
<br/>PET POLICY:
<br/>Pets Welcome
<br/>25lb Weight Maximum
<br/>$250 Pet Deposit
<br/>$35 Pet Rent
<br/>
<br/>RENTAL TERMS
<br/>Base Rent: $1650
<br/>12-Month Lease
<br/>Application Fee: $35
<br/>Security Deposit: $1650 on Approved Credit
<br/>Available: Now
<br/>Utilities: RUBS 
<br/>
<br/>CALL or TEXT  <a class=""show-contact"" data-href=""/reply/lax/apa/7318194217/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or EMAIL Martisa to schedule a showing! Virtual tours also available!
<br/>
</blockquote>
<b>Amenities</b>
<ul>
<li>On-Site Manager</li>
<li>Assigned Parking</li>
<li>On-site Laundry</li>
</ul>
<b>Details</b>
<ul>
<li>Beds/Baths: 1BD/1.0BA</li>
</ul>
<b>Rental Terms</b>
<ul>
<li>Rent: $1,550.00 

    <li>Available: Now
    <li>Application Fee: $35.00
    <li>Security Deposit: $1,550.00

  </li></li></li></li></ul>
<b>Pet Policy</b>
<ul>
<li>Cats allowed</li>
<li>Small dogs allowed</li>
</ul>
 </section>", (Boyle Heights),"$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-the-other-side-of/7318194217.html,34.053238,-118.196660
5,The New Boyle Heights Upgrades Galore 1+1,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-new-boyle-heights/7324290486.html""></div>
</div>
<big>
<big>
<b>The Azure Heights: A Newly Remodeled Boyle Heights Community</b>
</big>
</big>
<br/>
<br/>
<b>Property Address</b>
<br/>
2736 Pomeroy Avenue  - 301 | Los Angeles, CA 90033
<br/>

  Available: Now

<br/>
<br/>
<b>Offered By</b>
<br/>
2736 Pomeroy, LLC
<br/>
<br/>
<hr/>
<br/>
<b>Description</b>
<blockquote>
    Move In Special One Month Free Inquire For Details
<br/>
<br/>Come home to Azure Heights! This newly renovated building is designed with convenience and modern comfort in mind. The stylish interiors are designed to comfort with hardwood flooring, ample closet space, large mirrors, stainless steel appliances, A/C and heating. This building features essential amenities like on-site gated parking, elevator, beautifully landscaped outdoor spaces and laundry rooms on each floor. Tucked away in historic Boyle Heights community, these apartments are minutes to Downtown LA, the 10 Freeway, Keck Medicine of USC, East Los Angeles College and much more!
<br/>
<br/>Contact us for a tour! Visit the Azure Heights today and take advantage of all it has to offer. You’ll see that the Azure Heights is the perfect place to call home.”
<br/>
<br/>APARTMENT AMENITIES
<br/>Brand New Flooring
<br/>A/C Unit
<br/>Ceiling Fans
<br/>Stainless Steel Refrigerator
<br/>Stainless Steel Stove
<br/>Stainless Steel dishwasher
<br/>Stainless Steel Microwave
<br/>Brand-New Countertops
<br/>
<br/>BUILDING AMENITIES
<br/>Gated Assigned Parking
<br/>On-Site Laundry on each floor
<br/>On-Site Manager
<br/>Elevator
<br/>Landscaped Outdoor Spaces
<br/>
<br/>PET POLICY:
<br/>Pets Welcome
<br/>25lb Weight Maximum
<br/>$250 Pet Deposit
<br/>$35 Pet Rent
<br/>
<br/>RENTAL TERMS
<br/>Base Rent: $1650
<br/>12-Month Lease
<br/>Application Fee: $35
<br/>Security Deposit: $1650 on Approved Credit 
<br/>Available: Now
<br/>Utilities: RUBS
<br/>
<br/>CALL or TEXT  <a class=""show-contact"" data-href=""/reply/lax/apa/7324290486/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or EMAIL Martisa to schedule a showing! Virtual tours also available!
  </blockquote>
<b>Amenities</b>
<ul>
<li>On site laundry room</li>
<li>On site parking</li>
<li>Assigned Parking</li>
</ul>
<b>Details</b>
<ul>
<li>Beds/Baths: 1BD/1.0BA</li>
</ul>
<b>Rental Terms</b>
<ul>
<li>Rent: $1,600.00 

    <li>Available: Now
    <li>Application Fee: $35.00
    <li>Security Deposit: $1,600.00

  </li></li></li></li></ul>
<b>Pet Policy</b>
<ul>
<li>Cats allowed</li>
<li>Small dogs allowed</li>
</ul>
 </section>", (Boyle Heights),"$1,600",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-new-boyle-heights/7324290486.html,34.053238,-118.196660
6,Boyle Heights Studio at 105 S Mathews Street,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-boyle-heights-studio-at-105/7325843694.html""></div>
</div>
<br/>
<b>Available July 1, 2021</b>
<br/>
<br/>
<b>2 Months Security</b>
<b>Deposit Required</b>
<br/>
<br/>
Unfurnished Studio Rooms above Retail Store<br/>
<br/>
Refrigerator and Stove Included<br/>
<br/>
Tenant pays for electricity<br/>
<br/>
Water, Gas, &amp; Trash included.<br/>
<br/>
Coin Operated Laundry Machines<br/>
<br/>
Security Deposit; Amount determined after Credit Check (Minimum 1 Months Rent)<br/>
<br/>
Good Credit Applicants Only!<br/>
<br/>
<br/>
<br/>
Rental Procedures:<br/>
<br/>
Step 1:	Contact,  <a class=""show-contact"" data-href=""/reply/lax/apa/7325843694/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 (Recording)<br/>
<br/>
Step 2:	Rental Application &amp; Credit Authorization Forms available at viewing only!<br/>
<br/>
Step 3:	Schedule appointment to submit completed forms and copies of documents for review.<br/>
<br/><li> Provide $40.00 per Credit Report</li>
                (Copies not accepted--Fee Non-Refundable)<br/>
<br/><li> Drivers License or Identification Card</li><br/>
<li>Social Security</li><br/>
<li>Other Documents</li>
<br/>
Step 4:	Meet with Management to sign Rental Agreement Contract, House Rules and get Keys.<br/>
<br/>
<b>***Applications provided at viewing.  Room sizes and layout are slightly different, must view--No Pictures provided.***<br/></b>
<br/>
****We Do Not Respond To E-Mails****    </section>"," (105 S. Mathews Street, Boyle Heights)","$1,375",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-boyle-heights-studio-at-105/7325843694.html,34.043105,-118.208485
7,work and live loft boyle heights,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-work-and-live-loft-boyle/7325755003.html""></div>
</div>
work and live loft in boyle heights.  high ceiling (15 feet) ,  centrally located to 10, 60, 5 101, and 710 freeways,  brand new full bathroom and kitchentte   call  <a class=""show-contact"" data-href=""/reply/lax/apa/7325755003/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a><br/>
   big open space / divisible    close to metro to the ocean    </section>"," (Los Angeles, CA)","$1,450",1.0,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-work-and-live-loft-boyle/7325755003.html,34.023962,-118.191755
8,NO SECURITY DEPOSIT!!! SHARED HOUSE/HOSTEL (Boyle Heights),"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/roo/d/los-angeles-no-security-deposit-shared/7325124074.html""></div>
</div>
Cozy, three-bedroom bungalow set up like a European hostel in the heart of Boyle Heights has spots available NOW.  Three bedrooms, all COED, all SHARED.  Free WiFi (1,000mbps).  House is 420 friendly.  However, all cutting, wrapping, and smoking of marijuana or cigarettes is done outside on the front patio only.  Fully equipped kitchen for you to prepare your meals.  House is fully furnished.  Two full bathrooms.  Clean, quiet house.  There’s always a decent, friendly, hardworking group of residents.  NO SKETCHES!  Perfect for students, frugal travelers, creatives, and people seeking to stack their bread to move into a more “traditional” living situation.<br/>
<br/>
Super close to public transportation, both train and bus.  Five minutes away from the Arts District and Downtown Los Angeles.  720 bus right outside goes all the way to Santa Monica Beach.<br/>
<br/>
NO SECURITY DEPOSIT!<br/>
NO RENTAL AGREEMENTS!<br/>
<br/>
$550 PER MONTH, no additional charges or fees<br/>
NO SECURITY DEPOSIT, NO CREDIT CHECKS!  Just need to be over 18 years of age with valid ID<br/>
<br/>
No drugs.  No sex offenders.  No couples.  No children.<br/>
<br/>
SERIOUS INQUIRIES ONLY!  <br/>
<br/>
Call, text, or email CYNTHIA.<br/>
</section>", (BOYLE HEIGHTS),$550,3.0,,https://losangeles.craigslist.org/lac/roo/d/los-angeles-no-security-deposit-shared/7325124074.html,34.036312,-118.220006
9,All Inclusive Furnished Studio / 1 Bath in Boyle Heights!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-all-inclusive-furnished/7325031087.html""></div>
</div>
<big>
<big>
<b>All Inclusive Furnished Studio / 1 Bath in Boyle Heights!</b>
</big>
</big>
<br/>
<br/>
<b>Property Address</b>
<br/>
150 N Soto Street # 215 | Los Angeles, CA 90033
<br/>
<br/>
<br/>
<b>Offered By</b>
<br/>
Altman Apartments LLC (Soto)
<br/>
<br/>
<hr/>
<br/>
<b>Description</b>
<blockquote>
    WELCOME TO YOUR NEW FULLY FURNISHED &amp; ALL INCLUSIVE HOME!
<br/>
<br/>Location:
<br/>150 N Soto Street # 215
<br/>Los Angeles, CA 90033
<br/>
<br/>Rental Info:
<br/>Studio / 1 Bath with full kitchen &amp; bathroom : $1,250
<br/>Deposit: $1,250
<br/>Lease Term: 6 or 12 month lease options available
<br/>
<br/>You are welcome to tour the property and unit during our open house hours every Monday, Tuesday, Wednesday and Saturday from 5:00pm-6:00pm.
<br/>
<br/>Please contact our friendly property manager Federico at  <a class=""show-contact"" data-href=""/reply/lax/apa/7325031087/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 with any questions or to coordinate a time to see the apartment in case the open house times don’t work for your busy schedule and we will do our best to accommodate you! Thursday and Friday viewings are by appointment only.
<br/>
<br/>APPLY TODAY online at http://rentyourhome.weebly.com.
<br/>
<br/>Features
<br/>
<br/>Fully furnished
<br/>Linens &amp; towels included
<br/>32"" Flat Screen TV, Cable TV, Internet, All utilities are included
<br/>Refrigerator and microwave included
<br/>Onsite manager
<br/>Walk to restaurants, apparel shops, &amp; more
<br/>Metro Light Rail Soto Station one block away!
<br/>Nearby parks
<br/>Nearby schools
<br/>Urban feel / city views
<br/>Minutes to Downtown LA &amp; Arts District!
<br/>Plenty of public transit, no need to drive!
<br/>Newly remodeled kitchen!
<br/>
<br/>ABOUT 150 N Soto Street Property
<br/>
<br/>Our location is in the heart of Boyle Heights, a neighborhood just East of Downtown LA (just over one mile to the Arts District across the LA River). The lifestyle here is very rich in urban amenities styling itself after it's Brooklyn namesake. The street is very walk-able with an eclectic and vibrant mix of locally owned retail shops and restaurants in abundance. Get serenaded by live Mariachi music while sipping a Horchata from locally owned restaurants on the street!
<br/>
<br/>This apartment is all inclusive and fully furnished and all utilities are paid for by the owner. Units have laminate flooring, vertical blinds, ceiling fan, new fridge and microwave, queen sized bed, and are freshly painted. Common area kitchen is located on each floor and is available for everybody to use.
<br/>
<br/>Well served by public transportation: Walk 2 minutes to Soto light rail station straight to Arts District, Little Tokyo, or no time to catch a bus to DTLA. It is incredibly easy to get around this town!
<br/>
<br/>Approval is based on income (must show proof of income at least twice the monthly rent), rental history, criminal background (no felonies), &amp; NO evictions. Credit scores are not as important as these other factors in evaluating applications. Please apply today!
  </blockquote>
<b>Amenities</b>
<ul>
<li>vertical blinds</li>
<li>laminate flooring</li>
<li>ceiling fan</li>
<li>closet</li>
<li>all inclusive</li>
<li>fully furnished</li>
<li>vending machines on site</li>
<li>laundry on site</li>
<li>remodeled kitchen</li>
</ul>
<b>Details</b>
<ul>
<li>Beds/Baths: 1.0BA</li>
<li>Square Feet: 249</li>
</ul>
<b>Rental Terms</b>
<ul>
<li>Rent: $1,250.00 

    <li>Application Fee: $35.00
    <li>Security Deposit: $1,250.00

  </li></li></li></ul>
<b>Pet Policy</b>
<ul>
<li>Cats not allowed</li>
<li>Dogs not allowed</li>
</ul>
 </section>", (Los Angeles),"$1,250",,249.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-all-inclusive-furnished/7325031087.html,34.045127,-118.208797
