,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon
0,Renovated East Hollywood Gem! 1BD/1BA with in Unit Laundry & Parking,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-east-hollywood/7326474230.html""></div>
</div>
<hr/>See better photos and <b>SCHEDULE A SHOWING</b> at:<br/><br/><big><b><u>http://showinghotline.com/lc/17926dc011</u></b></big><br/><br/>No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.<br/><hr/><br/><big>Renovated East Hollywood Gem! 1BD/1BA with in Unit Laundry &amp; Parking</big><br/><b>1020 N Kingsley Dr, Los Angeles, CA, 90029</b><br/><br/>$2095 per month<br/>Available now<br/>1 bed, 1 full bath<br/>850 sq. ft.<br/><br/><b>**Parking $100/mo***<br/></b><br/>If I had to guess, I’d say you like new shiny things. I’d go out on a limb and even suggest that you are in favor of a well-deigned kitchen with custom cabinets Bosch appliances. Sleekly designed bathrooms with spa-like showers. Thoughts on those?  How do you feel about designer lighting? For it, I’d imagine.  <br/><br/> Well, now that I’ve gotten to know you so well, have I got the place for you. This 1 bed/ 1 bath has all those things you feel so positively about and more. I didn’t even have to question whether you fancy new washer and dryers in-unit and Nest controlled heating and air. Who doesn’t? I will leave one thing unsaid so it will be a surprised when you come and see the apartment. Okay fine. Twist my arm. It has a large bedroom with a walk-in closet! Okay, see you there!<br/><br/><b>Rooms and Interior</b><br/>. Hardwood floors<br/>. Walk-in closet<br/><br/><b>Kitchen and Bath</b><br/>. Kitchen recently updated<br/>. Dishwasher<br/>. Refrigerator<br/>. Stove / oven<br/><br/><b>Utilities and Extras</b><br/>. Central heat<br/>. Central air conditioning<br/>. Parking available<br/>. Laundry in unit<br/><br/><b>Lease Terms</b><br/>. Pets negotiable<br/>. Tenant pays gas and electric<br/>. One year lease<br/>. 1 parking spot<br/>. Dogs ok<br/>. Cats ok<br/>. Tenant pays trash removal<br/>. Water included<br/><br/><b>Contact Us:</b><br/>Deasy Penner Podley<br/>Alexis Hilton<br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326474230/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/><br/><hr/>See better photos and <b>SCHEDULE A SHOWING</b> at:<br/><br/><big><b><u>http://showinghotline.com/lc/17926dc011</u></b></big><br/><br/><hr/><br/><br/> </section>", (East Hollywood),"$2,095",1.0,850.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-east-hollywood/7326474230.html,34.088924,-118.303436
1,Cozy Studio in East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-in-east/7314598778.html""></div>
</div>
1249 N Edgemont St Los Angeles, CA 90029<br/>
<br/>
Great Location! Sunset Blvd, Santa Monica Blvd, Hollywood, Los Feliz, Hollywood fwy, Vermont/Sunset metro station,Kaiser Permanente Hospital, Los Angeles City Collage and many restaurants and coffee shops are close by!<br/>
<br/>
Property Features:<br/>
<br/>
On-site Laundry<br/>
Rent Controlled<br/>
Gated parking $50/mo<br/>
<br/>
<br/>
Unit Features:<br/>
<br/>
Bottom Floor Unit<br/>
Stainless steel Appliances<br/>
vinyl flooring<br/>
Decent amount of storage space<br/>
<br/>
For more details on renting this property or similar properties call/text Yohani  <a class=""show-contact"" data-href=""/reply/lax/apa/7314598778/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
Some Qualifying Information:<br/>
- Income: Must be at least 2.5x advertised rent<br/>
- Credit Score: 600-650 may be approved with conditions; 651+ for no conditions. Under 600 does not meet standards.<br/>
- A detailed Rental Policy is available in our application process.<br/>
<br/>
Please ask us about our animal policy!<br/>
<br/>
abc123, apartments, condo, homes, Los Angeles, relocation, renovated, Hollywood, East Hollywood, Santa Monica Blvd, Sunset Blvd, Los Feliz, Silver Lake, 90029, 90026, 90004, 90027, 90038, 90028, 90039<br/>
<br/>
“Please note: Photos may not be of exact apartment home available*Square footage, when listed or from inquiry, is approximate*Pricing is subject to change without notice*Pricing can vary between similar apartments for many reasons*Features may vary between similar apartments*Renter to verify all information, including availability*Rental Policy may change without notice*Price breaks are extended to all Applicants, no matter what may have been previously advertised*MonemCo adheres to all Fair Housing guidelines and all housing laws*”    </section>", (Los Angeles),"$1,495",,450.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-in-east/7314598778.html,34.094440,-118.296209
2,East Hollywood Apartment 1 Bedroom 1 Bath,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-apartment/7320141695.html""></div>
</div>
Charming one bedroom one bathroom apartment for rent located in the city of Los Angeles, close to freeways,shopping centers school and much more. Walking in to this apartment you will see the spacious livingroom with wood flooring. Kitchen come with vinyl plank flooring and stainless steel stove and refrigerator.<br/>
<br/>
Street parking only<br/>
No pets<br/>
<br/>
Equal Housing Opportunity Provider<br/>
<br/>
Professionally Managed by Day and Associates<br/>
Www.dayandassociatespm.com<br/>
Showings are Monday-Friday from 9:00 am to 5:00 pm call  <a class=""show-contact"" data-href=""/reply/lax/apa/7320141695/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
Saturday and Sunday from 10:00 am to 4:00 pm call or text  <a class=""show-contact"" data-href=""/reply/lax/apa/7320141695/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (5154 Fountain Ave - 5154 1/4 Los Angeles, CA)","$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-apartment/7320141695.html,34.090000,-118.294400
3,East Hollywood Spanish Studio Remodeled,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7316487211.html""></div>
</div>
Gillman Apartments has put the finishing touches on our latest pet friendly studio apartment conveniently located between Hollywood, Silverlake and Koreatown. Close to Freeway. Close to Bus lines. The unit itself is located on second floor with windows facing the north side. No direct sun/heat. New tiled floor, kitchen, bathroom. This vintage building has many architectural features not found in the modern buildings. For those tenants that can appreciate vintage LA, this unit will not last long at this price. Call or text Rebecca who can set up a time for you to safely preview.  Laundry in the basement. Downside is street parking only.    </section>", (Los Angeles),"$1,295",,440.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7316487211.html,34.088891,-118.302097
4,East Hollywood Spanish Studio ALL UTILIITES,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7324473114.html""></div>
</div>
Why pay Silverlake prices. Gillman Apartments has a rare opening in our 1930s Spanish style pet friendly building in East Hollywood. Just a few blocks from the metro at Santa Monica and Vermont, our location is close to anywhere you need to go in Los Angeles.  We are aware of all the changes COVID has brought over the past year, so we have set up sitting areas in the back, with table umbrella and string lights. We have also opened up the roof area with tables and chairs to view the skyline and the stars at night.  The unit itself has been updated with tile flooring, tile counter on new white kitchen cabinets refrigerator and stove, and an updated bathroom. Unit 203 faces the north cooler side in the warm summer months quickly approaching.  Come walk the property and see what this up and coming area has to offer.  These units go quick with all utilities included.  Downside is street parking only, but by permit, so not as bad as many areas. You can also ask Rebecca for ideas on how to approach other buildings in the area to get a parking spot.    </section>", (East Hollywood),"$1,495",,475.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7324473114.html,34.091419,-118.297529
5,Gorgegous East Hollywood Room for Rent,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/roo/d/los-angeles-gorgegous-east-hollywood/7326383080.html""></div>
</div>
We (one female - 34 and one male-31 ) are looking for one roommate in their late 20's early 30's to fill two rooms that will be opening up July 1st.  Rent is $1275 for the room, plus utilities. There is a $1490 security deposit due before move in date. It’s slightly higher , I know... but that is in part because the rent is very reasonable for the space etc. Female or males welcome to apply.<br/>
<br/>
The HOUSE is an absolute dream. I moved in here two years ago and I simply adore it. Super thankful for the place and looking for others who will enjoy what a great situation it is as well. Not only is your room huge and in it's own corner with TWO closets, but there's so much footage in the common areas. This includes a dining room, living room, desk area near the living room, huge kitchen, dishwasher, washer and dryer in unit AND parking. Shared bathroom. Roku TV in the living room with (non working) but pretty fireplace with backsplash.  Lots of light in this beautiful space. <br/>
<br/>
The house was an airbnb before I moved in, so there are already some amazing furniture pieces in the house. Some pictures I've posted are from the listing from two years year ago, the current living room set up is shown in the posting.  The bedroom comes furnished.  The picture with the pinkish vibes is no longer happening. It's just a KING sized bed that you can make your own styling choices with. I am in the market for a few new living room seating arrangements, but in general the person moving in should not be bringing much for communal furniture as the vibe is minimalist / wabi sabi interiors, not big on clutter- this is V important. Photos above are from the stock photos from when I originally rented the home but I added an IRL photo of the living room. We keep it simple so its very similar. <br/>
<br/>
Looking for someone who is clean and picks up after themselves. Please only inquire if you know this to be true about yourself, and is not a question. Yet!... also looking for someone who doesn't mind music being played and general pleasant vibes. We both are into music, all of it and listen to it often. People who enjoy mindfulness, positive communication behaviors, and home as the sanctuary please apply. We do not have pets but we LOVE them and watch our neighbors dogs sometimes.  Hobbies for me include : art/drawing, acting, photography, juicing/cooking, strangers. Hobbies for him include : candle making, hikes/nature/camping, photography, bread.<br/>
<br/>
We are looking for longer term rentals (1 yr) and not subleases at this time. No couples, thank you. 420 :) <br/>
<br/>
Neighborhood is East Hollywood. I love this area in general. Very close to West Hollywood , Silverlake , Echo Park , Larchmont and on the edge of K Town. Could not be more central! The house is in between Santa Monica Blvd. and Melrose off Western Ave. Down the street is a Smart and Final for quick grocery grabs, a Taco Bell, McDonalds, Dave's Hot Chicken, and Chick-fi-la . Gold Diggers is a classic bar establishment that I love and go to occasionally for one or two, once it opens back up :)    </section>", (East Hollywood),"$1,275",1.0,,https://losangeles.craigslist.org/lac/roo/d/los-angeles-gorgegous-east-hollywood/7326383080.html,34.090909,-118.309309
6,Large 1 bedroom in Beautiful East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326374140.html""></div>
</div>
<p> <b><u>Contact info:</u></b> <br/> <b> Flora | The Eberly Company |  <a class=""show-contact"" data-href=""/reply/lax/apa/7326374140/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</b></p><h1>Large 1 bedroom In Beautiful East Hollywood</h1><h2>5460 Sierra Vista Ave, Hollywood, CA 90038</h2><h2>$1,495/mo</h2><p> <b><big><u>KEY FEATURES</u></big></b> <br/> <b>Bedrooms: </b> 1 Bedrooms <br/> <b>Bathrooms: </b> 1 Bath<br/> <b>Parking: </b> 1 Garage<br/> <b>Lease Duration: </b> 1 Year (See Details Below)<br/> <b>Deposit: </b> $1,495<br/> <b>Pets Policy: </b> No Pets Allowed<br/> <b>Laundry: </b> Shared<br/> <b>Property Type: </b> Apartment<br/> <br/> <b><u>DESCRIPTION</u></b><hr/> Large 1 bedroom in a quiet and well maintained building between Santa Monica and Western. Unit is very spacious and has been freshly painted and clean carpet/laminated flooring. Unit has lots of closet space. Kitchen is spacious with Stove and Oven and has nice cabinets. Swimming pool, laundry on-site and one parking space. Find Restaurants, entertainment, schools and transportation at a walking distance. Call Flora for more details and to schedule a viewing.  <a class=""show-contact"" data-href=""/reply/lax/apa/7326374140/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
.<br/> <br/> <b>RENTAL FEATURES</b><hr/><ul><li>Living room</li><li>Range / Oven</li><li>Garbage disposal</li></ul> <b>COMMUNITY FEATURES</b><hr/><ul><li>Elevator</li><li>Secured entry</li><li>Gated entry</li><li>Shared pool</li><li>Near transportation</li><li>Covered parking</li></ul> <b> LEASE TERMS </b><hr/> 12 Month Lease<br/> **No Pets Allowed**<br/><br/> <b><u>Contact info: </u></b><br/> <b> Flora <br/> The Eberly Company <br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326374140/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/></b></p> </section>"," (Hollywood, Los Angeles, East Hollywood)","$1,495",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326374140.html,34.089609,-118.310656
7,$625 to share a room with Creative People (East Hollywood),"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/sub/d/los-angeles-625-to-share-room-with/7314213669.html""></div>
</div>
Actors, Artists, Dancers, Musicians, Writers, etc.<br/>
Western and Melrose close to Paramount!!!<br/>
13 minutes bus to Los Angeles Film School.<br/>
14 minutes bus to IO Music Academy.<br/>
15 minutes bus to Hollywood Academy of Music and Arts.<br/>
18 minutes bus to Rhodes School of Music.<br/>
20 minutes bus to LA Music Academy.<br/>
<br/>
Co-sharing &amp; Co-living.<br/>
Share a room with others.<br/>
Utilities and WiFi included.<br/>
Free to use washer and dryer.<br/>
<br/>
Security deposit equal to rent.<br/>
Email us with your contact details.    </section>", (Los Angeles),$625,,,https://losangeles.craigslist.org/lac/sub/d/los-angeles-625-to-share-room-with/7314213669.html,34.076155,-118.310276
8,Newly Renovated 2 bed /1 bath in Franklin Hills area East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-renovated-bed-bath-in/7313838869.html""></div>
</div>
Beautiful, completely renovated units available now- small pets are welcome under 30 lbs with pet deposit<br/>
~ 2 bed / 1 bath - ready now  <br/>
~Spacious Kitchen + Gas stove <br/>
~Beautiful Laminate Wood Floors<br/>
~Gated building with swimming pool <br/>
~ Onsite laundry room <br/>
~ Street parking <br/>
<br/>
Great location near restaurants , market and shopping centers off Vine /Franklin in Hollywood area. <br/>
<br/>
No Evictions <br/>
Applicants must make 2.5 times monthly rent <br/>
12 Month Lease<br/>
For showing call our office at  <a class=""show-contact"" data-href=""/reply/lax/apa/7313838869/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 ask for Jaime or Beatriz<br/>
<br/>
</section>", (Hollywood),"$2,100",2.0,900.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-renovated-bed-bath-in/7313838869.html,34.105208,-118.320809
9,Large 1 bedroom in Beautiful East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326320021.html""></div>
</div>
<p> <b><u>Contact info:</u></b> <br/> <b> Flora | The Eberly Company |  <a class=""show-contact"" data-href=""/reply/lax/apa/7326320021/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</b></p><h1>Large 1 bedroom In Beautiful East Hollywood</h1><h2>5460 Sierra Vista Ave, Hollywood, CA 90038</h2><h2>$1,495/mo</h2><p> <b><big><u>KEY FEATURES</u></big></b> <br/> <b>Bedrooms: </b> 1 Bedrooms <br/> <b>Bathrooms: </b> 1 Bath<br/> <b>Parking: </b> 1 Garage<br/> <b>Lease Duration: </b> 1 Year (See Details Below)<br/> <b>Deposit: </b> $1,495<br/> <b>Pets Policy: </b> No Pets Allowed<br/> <b>Laundry: </b> Shared<br/> <b>Property Type: </b> Apartment<br/> <br/> <b><u>DESCRIPTION</u></b><hr/> Large 1 bedroom in a quiet and well maintained building between Santa Monica and Western. Unit is very spacious and has been freshly painted and clean carpet/laminated flooring. Unit has lots of closet space. Kitchen is spacious with Stove and Oven and has nice cabinets. Swimming pool, laundry on-site and one parking space. Find Restaurants, entertainment, schools and transportation at a walking distance. Call Flora for more details and to schedule a viewing.  <a class=""show-contact"" data-href=""/reply/lax/apa/7326320021/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
.<br/> <br/> <b>RENTAL FEATURES</b><hr/><ul><li>Living room</li><li>Range / Oven</li><li>Garbage disposal</li></ul> <b>COMMUNITY FEATURES</b><hr/><ul><li>Elevator</li><li>Secured entry</li><li>Gated entry</li><li>Shared pool</li><li>Near transportation</li><li>Covered parking</li></ul> <b> LEASE TERMS </b><hr/> 12 Month Lease<br/> **No Pets Allowed**<br/><br/> <b><u>Contact info: </u></b><br/> <b> Flora <br/> The Eberly Company <br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326320021/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/></b></p> </section>"," (Hollywood, Los Angeles, East Hollywood)","$1,495",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326320021.html,34.089609,-118.310656
