,word,word_count,count_per_10posts
2,central,1055,13.371356147021547
9,private,570,7.224334600760455
16,historic,386,4.892268694550063
27,luxury,324,4.106463878326997
35,restaurants,303,3.840304182509506
52,walk,258,3.2699619771863118
58,gated,250,3.1685678073510775
64,walking,243,3.0798479087452475
101,security,194,2.458808618504436
105,amenities,187,2.370088719898606
282,art,129,1.6349809885931559
359,modern,103,1.3054499366286438
431,prime,84,1.064638783269962
478,lounge,75,0.9505703422053231
504,bars,73,0.9252217997465145
733,unique,49,0.6210392902408112
1308,luxurious,28,0.3548795944233207
1312,stadium,28,0.3548795944233207
1702,culture,24,0.3041825095057034
1904,upscale,18,0.22813688212927757
2024,charming,16,0.20278833967046894
2072,coming,16,0.20278833967046894
2152,walkable,15,0.19011406844106463
2178,safe,14,0.17743979721166034
2312,character,11,0.13941698352344742
2480,affordable,9,0.11406844106463879
2845,hip,6,0.07604562737642585
2953,diverse,5,0.06337135614702155
3470,vibe,4,0.050697084917617236
4016,accessible,2,0.025348542458808618
4276,budget,2,0.025348542458808618
4925,preserved,1,0.012674271229404309
5004,quaint,1,0.012674271229404309
5963,authentic,1,0.012674271229404309
