,Unnamed: 0,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon,geometry,code_words,cw_present
0,0,Renovated East Hollywood Gem! 1BD/1BA with in Unit Laundry & Parking,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-east-hollywood/7326474230.html""></div>
</div>
<hr/>see better photos and <b>schedule a showing</b> at:<br/><br/><big><b><u>http://showinghotline.com/lc/17926dc011</u></b></big><br/><br/>no, it's not a hyperlink.  :-(  you still have to copy-and-paste this link into the address bar on your web browser.<br/><hr/><br/><big>renovated east hollywood gem! 1bd/1ba with in unit laundry &amp; parking</big><br/><b>1020 n kingsley dr, los angeles, ca, 90029</b><br/><br/>$2095 per month<br/>available now<br/>1 bed, 1 full bath<br/>850 sq. ft.<br/><br/><b>**parking $100/mo***<br/></b><br/>if i had to guess, i’d say you like new shiny things. i’d go out on a limb and even suggest that you are in favor of a well-deigned kitchen with custom cabinets bosch appliances. sleekly designed bathrooms with spa-like showers. thoughts on those?  how do you feel about designer lighting? for it, i’d imagine.  <br/><br/> well, now that i’ve gotten to know you so well, have i got the place for you. this 1 bed/ 1 bath has all those things you feel so positively about and more. i didn’t even have to question whether you fancy new washer and dryers in-unit and nest controlled heating and air. who doesn’t? i will leave one thing unsaid so it will be a surprised when you come and see the apartment. okay fine. twist my arm. it has a large bedroom with a walk-in closet! okay, see you there!<br/><br/><b>rooms and interior</b><br/>. hardwood floors<br/>. walk-in closet<br/><br/><b>kitchen and bath</b><br/>. kitchen recently updated<br/>. dishwasher<br/>. refrigerator<br/>. stove / oven<br/><br/><b>utilities and extras</b><br/>. central heat<br/>. central air conditioning<br/>. parking available<br/>. laundry in unit<br/><br/><b>lease terms</b><br/>. pets negotiable<br/>. tenant pays gas and electric<br/>. one year lease<br/>. 1 parking spot<br/>. dogs ok<br/>. cats ok<br/>. tenant pays trash removal<br/>. water included<br/><br/><b>contact us:</b><br/>deasy penner podley<br/>alexis hilton<br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326474230/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/><br/><hr/>see better photos and <b>schedule a showing</b> at:<br/><br/><big><b><u>http://showinghotline.com/lc/17926dc011</u></b></big><br/><br/><hr/><br/><br/> </section>", (East Hollywood),"$2,095",1.0,850.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-east-hollywood/7326474230.html,34.088924,-118.303436,POINT (-118.303436 34.088924),art,True
1,1,Cozy Studio in East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-in-east/7314598778.html""></div>
</div>
1249 n edgemont st los angeles, ca 90029<br/>
<br/>
great location! sunset blvd, santa monica blvd, hollywood, los feliz, hollywood fwy, vermont/sunset metro station,kaiser permanente hospital, los angeles city collage and many restaurants and coffee shops are close by!<br/>
<br/>
property features:<br/>
<br/>
on-site laundry<br/>
rent controlled<br/>
gated parking $50/mo<br/>
<br/>
<br/>
unit features:<br/>
<br/>
bottom floor unit<br/>
stainless steel appliances<br/>
vinyl flooring<br/>
decent amount of storage space<br/>
<br/>
for more details on renting this property or similar properties call/text yohani  <a class=""show-contact"" data-href=""/reply/lax/apa/7314598778/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
some qualifying information:<br/>
- income: must be at least 2.5x advertised rent<br/>
- credit score: 600-650 may be approved with conditions; 651+ for no conditions. under 600 does not meet standards.<br/>
- a detailed rental policy is available in our application process.<br/>
<br/>
please ask us about our animal policy!<br/>
<br/>
abc123, apartments, condo, homes, los angeles, relocation, renovated, hollywood, east hollywood, santa monica blvd, sunset blvd, los feliz, silver lake, 90029, 90026, 90004, 90027, 90038, 90028, 90039<br/>
<br/>
“please note: photos may not be of exact apartment home available*square footage, when listed or from inquiry, is approximate*pricing is subject to change without notice*pricing can vary between similar apartments for many reasons*features may vary between similar apartments*renter to verify all information, including availability*rental policy may change without notice*price breaks are extended to all applicants, no matter what may have been previously advertised*monemco adheres to all fair housing guidelines and all housing laws*”    </section>", (Los Angeles),"$1,495",,450.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-in-east/7314598778.html,34.09444,-118.296209,POINT (-118.296209 34.09444),restaurants,True
2,2,East Hollywood Apartment 1 Bedroom 1 Bath,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-apartment/7320141695.html""></div>
</div>
charming one bedroom one bathroom apartment for rent located in the city of los angeles, close to freeways,shopping centers school and much more. walking in to this apartment you will see the spacious livingroom with wood flooring. kitchen come with vinyl plank flooring and stainless steel stove and refrigerator.<br/>
<br/>
street parking only<br/>
no pets<br/>
<br/>
equal housing opportunity provider<br/>
<br/>
professionally managed by day and associates<br/>
www.dayandassociatespm.com<br/>
showings are monday-friday from 9:00 am to 5:00 pm call  <a class=""show-contact"" data-href=""/reply/lax/apa/7320141695/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
saturday and sunday from 10:00 am to 4:00 pm call or text  <a class=""show-contact"" data-href=""/reply/lax/apa/7320141695/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (5154 Fountain Ave - 5154 1/4 Los Angeles, CA)","$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-apartment/7320141695.html,34.09,-118.2944,POINT (-118.2944 34.09),art,True
3,3,East Hollywood Spanish Studio Remodeled,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7316487211.html""></div>
</div>
gillman apartments has put the finishing touches on our latest pet friendly studio apartment conveniently located between hollywood, silverlake and koreatown. close to freeway. close to bus lines. the unit itself is located on second floor with windows facing the north side. no direct sun/heat. new tiled floor, kitchen, bathroom. this vintage building has many architectural features not found in the modern buildings. for those tenants that can appreciate vintage la, this unit will not last long at this price. call or text rebecca who can set up a time for you to safely preview.  laundry in the basement. downside is street parking only.    </section>", (Los Angeles),"$1,295",,440.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7316487211.html,34.088891,-118.302097,POINT (-118.302097 34.088891),art,True
4,4,East Hollywood Spanish Studio ALL UTILIITES,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7324473114.html""></div>
</div>
why pay silverlake prices. gillman apartments has a rare opening in our 1930s spanish style pet friendly building in east hollywood. just a few blocks from the metro at santa monica and vermont, our location is close to anywhere you need to go in los angeles.  we are aware of all the changes covid has brought over the past year, so we have set up sitting areas in the back, with table umbrella and string lights. we have also opened up the roof area with tables and chairs to view the skyline and the stars at night.  the unit itself has been updated with tile flooring, tile counter on new white kitchen cabinets refrigerator and stove, and an updated bathroom. unit 203 faces the north cooler side in the warm summer months quickly approaching.  come walk the property and see what this up and coming area has to offer.  these units go quick with all utilities included.  downside is street parking only, but by permit, so not as bad as many areas. you can also ask rebecca for ideas on how to approach other buildings in the area to get a parking spot.    </section>", (East Hollywood),"$1,495",,475.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7324473114.html,34.091419,-118.297529,POINT (-118.297529 34.091419),art,True
5,5,Gorgegous East Hollywood Room for Rent,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/roo/d/los-angeles-gorgegous-east-hollywood/7326383080.html""></div>
</div>
we (one female - 34 and one male-31 ) are looking for one roommate in their late 20's early 30's to fill two rooms that will be opening up july 1st.  rent is $1275 for the room, plus utilities. there is a $1490 security deposit due before move in date. it’s slightly higher , i know... but that is in part because the rent is very reasonable for the space etc. female or males welcome to apply.<br/>
<br/>
the house is an absolute dream. i moved in here two years ago and i simply adore it. super thankful for the place and looking for others who will enjoy what a great situation it is as well. not only is your room huge and in it's own corner with two closets, but there's so much footage in the common areas. this includes a dining room, living room, desk area near the living room, huge kitchen, dishwasher, washer and dryer in unit and parking. shared bathroom. roku tv in the living room with (non working) but pretty fireplace with backsplash.  lots of light in this beautiful space. <br/>
<br/>
the house was an airbnb before i moved in, so there are already some amazing furniture pieces in the house. some pictures i've posted are from the listing from two years year ago, the current living room set up is shown in the posting.  the bedroom comes furnished.  the picture with the pinkish vibes is no longer happening. it's just a king sized bed that you can make your own styling choices with. i am in the market for a few new living room seating arrangements, but in general the person moving in should not be bringing much for communal furniture as the vibe is minimalist / wabi sabi interiors, not big on clutter- this is v important. photos above are from the stock photos from when i originally rented the home but i added an irl photo of the living room. we keep it simple so its very similar. <br/>
<br/>
looking for someone who is clean and picks up after themselves. please only inquire if you know this to be true about yourself, and is not a question. yet!... also looking for someone who doesn't mind music being played and general pleasant vibes. we both are into music, all of it and listen to it often. people who enjoy mindfulness, positive communication behaviors, and home as the sanctuary please apply. we do not have pets but we love them and watch our neighbors dogs sometimes.  hobbies for me include : art/drawing, acting, photography, juicing/cooking, strangers. hobbies for him include : candle making, hikes/nature/camping, photography, bread.<br/>
<br/>
we are looking for longer term rentals (1 yr) and not subleases at this time. no couples, thank you. 420 :) <br/>
<br/>
neighborhood is east hollywood. i love this area in general. very close to west hollywood , silverlake , echo park , larchmont and on the edge of k town. could not be more central! the house is in between santa monica blvd. and melrose off western ave. down the street is a smart and final for quick grocery grabs, a taco bell, mcdonalds, dave's hot chicken, and chick-fi-la . gold diggers is a classic bar establishment that i love and go to occasionally for one or two, once it opens back up :)    </section>", (East Hollywood),"$1,275",1.0,,https://losangeles.craigslist.org/lac/roo/d/los-angeles-gorgegous-east-hollywood/7326383080.html,34.090909,-118.309309,POINT (-118.309309 34.090909),security,True
6,6,Large 1 bedroom in Beautiful East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326374140.html""></div>
</div>
<p> <b><u>contact info:</u></b> <br/> <b> flora | the eberly company |  <a class=""show-contact"" data-href=""/reply/lax/apa/7326374140/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</b></p><h1>large 1 bedroom in beautiful east hollywood</h1><h2>5460 sierra vista ave, hollywood, ca 90038</h2><h2>$1,495/mo</h2><p> <b><big><u>key features</u></big></b> <br/> <b>bedrooms: </b> 1 bedrooms <br/> <b>bathrooms: </b> 1 bath<br/> <b>parking: </b> 1 garage<br/> <b>lease duration: </b> 1 year (see details below)<br/> <b>deposit: </b> $1,495<br/> <b>pets policy: </b> no pets allowed<br/> <b>laundry: </b> shared<br/> <b>property type: </b> apartment<br/> <br/> <b><u>description</u></b><hr/> large 1 bedroom in a quiet and well maintained building between santa monica and western. unit is very spacious and has been freshly painted and clean carpet/laminated flooring. unit has lots of closet space. kitchen is spacious with stove and oven and has nice cabinets. swimming pool, laundry on-site and one parking space. find restaurants, entertainment, schools and transportation at a walking distance. call flora for more details and to schedule a viewing.  <a class=""show-contact"" data-href=""/reply/lax/apa/7326374140/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
.<br/> <br/> <b>rental features</b><hr/><ul><li>living room</li><li>range / oven</li><li>garbage disposal</li></ul> <b>community features</b><hr/><ul><li>elevator</li><li>secured entry</li><li>gated entry</li><li>shared pool</li><li>near transportation</li><li>covered parking</li></ul> <b> lease terms </b><hr/> 12 month lease<br/> **no pets allowed**<br/><br/> <b><u>contact info: </u></b><br/> <b> flora <br/> the eberly company <br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326374140/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/></b></p> </section>"," (Hollywood, Los Angeles, East Hollywood)","$1,495",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326374140.html,34.089609,-118.310656,POINT (-118.310656 34.089609),art,True
7,7,$625 to share a room with Creative People (East Hollywood),"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/sub/d/los-angeles-625-to-share-room-with/7314213669.html""></div>
</div>
actors, artists, dancers, musicians, writers, etc.<br/>
western and melrose close to paramount!!!<br/>
13 minutes bus to los angeles film school.<br/>
14 minutes bus to io music academy.<br/>
15 minutes bus to hollywood academy of music and arts.<br/>
18 minutes bus to rhodes school of music.<br/>
20 minutes bus to la music academy.<br/>
<br/>
co-sharing &amp; co-living.<br/>
share a room with others.<br/>
utilities and wifi included.<br/>
free to use washer and dryer.<br/>
<br/>
security deposit equal to rent.<br/>
email us with your contact details.    </section>", (Los Angeles),$625,,,https://losangeles.craigslist.org/lac/sub/d/los-angeles-625-to-share-room-with/7314213669.html,34.076155,-118.310276,POINT (-118.310276 34.076155),art,True
8,8,Newly Renovated 2 bed /1 bath in Franklin Hills area East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-renovated-bed-bath-in/7313838869.html""></div>
</div>
beautiful, completely renovated units available now- small pets are welcome under 30 lbs with pet deposit<br/>
~ 2 bed / 1 bath - ready now  <br/>
~spacious kitchen + gas stove <br/>
~beautiful laminate wood floors<br/>
~gated building with swimming pool <br/>
~ onsite laundry room <br/>
~ street parking <br/>
<br/>
great location near restaurants , market and shopping centers off vine /franklin in hollywood area. <br/>
<br/>
no evictions <br/>
applicants must make 2.5 times monthly rent <br/>
12 month lease<br/>
for showing call our office at  <a class=""show-contact"" data-href=""/reply/lax/apa/7313838869/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 ask for jaime or beatriz<br/>
<br/>
</section>", (Hollywood),"$2,100",2.0,900.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-renovated-bed-bath-in/7313838869.html,34.105208,-118.320809,POINT (-118.320809 34.105208),gated,True
9,9,Large 1 bedroom in Beautiful East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326320021.html""></div>
</div>
<p> <b><u>contact info:</u></b> <br/> <b> flora | the eberly company |  <a class=""show-contact"" data-href=""/reply/lax/apa/7326320021/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</b></p><h1>large 1 bedroom in beautiful east hollywood</h1><h2>5460 sierra vista ave, hollywood, ca 90038</h2><h2>$1,495/mo</h2><p> <b><big><u>key features</u></big></b> <br/> <b>bedrooms: </b> 1 bedrooms <br/> <b>bathrooms: </b> 1 bath<br/> <b>parking: </b> 1 garage<br/> <b>lease duration: </b> 1 year (see details below)<br/> <b>deposit: </b> $1,495<br/> <b>pets policy: </b> no pets allowed<br/> <b>laundry: </b> shared<br/> <b>property type: </b> apartment<br/> <br/> <b><u>description</u></b><hr/> large 1 bedroom in a quiet and well maintained building between santa monica and western. unit is very spacious and has been freshly painted and clean carpet/laminated flooring. unit has lots of closet space. kitchen is spacious with stove and oven and has nice cabinets. swimming pool, laundry on-site and one parking space. find restaurants, entertainment, schools and transportation at a walking distance. call flora for more details and to schedule a viewing.  <a class=""show-contact"" data-href=""/reply/lax/apa/7326320021/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
.<br/> <br/> <b>rental features</b><hr/><ul><li>living room</li><li>range / oven</li><li>garbage disposal</li></ul> <b>community features</b><hr/><ul><li>elevator</li><li>secured entry</li><li>gated entry</li><li>shared pool</li><li>near transportation</li><li>covered parking</li></ul> <b> lease terms </b><hr/> 12 month lease<br/> **no pets allowed**<br/><br/> <b><u>contact info: </u></b><br/> <b> flora <br/> the eberly company <br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326320021/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/></b></p> </section>"," (Hollywood, Los Angeles, East Hollywood)","$1,495",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-bedroom-in-beautiful/7326320021.html,34.089609,-118.310656,POINT (-118.310656 34.089609),art,True
