,Unnamed: 0,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon,geometry,code_words,cw_present
0,0,Renovated East Hollywood Gem! 1BD/1BA with in Unit Laundry & Parking,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-east-hollywood/7326474230.html""></div>
</div>
<hr/>see better photos and <b>schedule a showing</b> at:<br/><br/><big><b><u>http://showinghotline.com/lc/17926dc011</u></b></big><br/><br/>no, it's not a hyperlink.  :-(  you still have to copy-and-paste this link into the address bar on your web browser.<br/><hr/><br/><big>renovated east hollywood gem! 1bd/1ba with in unit laundry &amp; parking</big><br/><b>1020 n kingsley dr, los angeles, ca, 90029</b><br/><br/>$2095 per month<br/>available now<br/>1 bed, 1 full bath<br/>850 sq. ft.<br/><br/><b>**parking $100/mo***<br/></b><br/>if i had to guess, i’d say you like new shiny things. i’d go out on a limb and even suggest that you are in favor of a well-deigned kitchen with custom cabinets bosch appliances. sleekly designed bathrooms with spa-like showers. thoughts on those?  how do you feel about designer lighting? for it, i’d imagine.  <br/><br/> well, now that i’ve gotten to know you so well, have i got the place for you. this 1 bed/ 1 bath has all those things you feel so positively about and more. i didn’t even have to question whether you fancy new washer and dryers in-unit and nest controlled heating and air. who doesn’t? i will leave one thing unsaid so it will be a surprised when you come and see the apartment. okay fine. twist my arm. it has a large bedroom with a walk-in closet! okay, see you there!<br/><br/><b>rooms and interior</b><br/>. hardwood floors<br/>. walk-in closet<br/><br/><b>kitchen and bath</b><br/>. kitchen recently updated<br/>. dishwasher<br/>. refrigerator<br/>. stove / oven<br/><br/><b>utilities and extras</b><br/>. central heat<br/>. central air conditioning<br/>. parking available<br/>. laundry in unit<br/><br/><b>lease terms</b><br/>. pets negotiable<br/>. tenant pays gas and electric<br/>. one year lease<br/>. 1 parking spot<br/>. dogs ok<br/>. cats ok<br/>. tenant pays trash removal<br/>. water included<br/><br/><b>contact us:</b><br/>deasy penner podley<br/>alexis hilton<br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326474230/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/><br/><hr/>see better photos and <b>schedule a showing</b> at:<br/><br/><big><b><u>http://showinghotline.com/lc/17926dc011</u></b></big><br/><br/><hr/><br/><br/> </section>", (East Hollywood),"$2,095",1.0,850.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-east-hollywood/7326474230.html,34.088924,-118.303436,POINT (-118.303436 34.088924),art,True
1,1,Cozy Studio in East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-in-east/7314598778.html""></div>
</div>
1249 n edgemont st los angeles, ca 90029<br/>
<br/>
great location! sunset blvd, santa monica blvd, hollywood, los feliz, hollywood fwy, vermont/sunset metro station,kaiser permanente hospital, los angeles city collage and many restaurants and coffee shops are close by!<br/>
<br/>
property features:<br/>
<br/>
on-site laundry<br/>
rent controlled<br/>
gated parking $50/mo<br/>
<br/>
<br/>
unit features:<br/>
<br/>
bottom floor unit<br/>
stainless steel appliances<br/>
vinyl flooring<br/>
decent amount of storage space<br/>
<br/>
for more details on renting this property or similar properties call/text yohani  <a class=""show-contact"" data-href=""/reply/lax/apa/7314598778/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
some qualifying information:<br/>
- income: must be at least 2.5x advertised rent<br/>
- credit score: 600-650 may be approved with conditions; 651+ for no conditions. under 600 does not meet standards.<br/>
- a detailed rental policy is available in our application process.<br/>
<br/>
please ask us about our animal policy!<br/>
<br/>
abc123, apartments, condo, homes, los angeles, relocation, renovated, hollywood, east hollywood, santa monica blvd, sunset blvd, los feliz, silver lake, 90029, 90026, 90004, 90027, 90038, 90028, 90039<br/>
<br/>
“please note: photos may not be of exact apartment home available*square footage, when listed or from inquiry, is approximate*pricing is subject to change without notice*pricing can vary between similar apartments for many reasons*features may vary between similar apartments*renter to verify all information, including availability*rental policy may change without notice*price breaks are extended to all applicants, no matter what may have been previously advertised*monemco adheres to all fair housing guidelines and all housing laws*”    </section>", (Los Angeles),"$1,495",,450.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-in-east/7314598778.html,34.09444,-118.296209,POINT (-118.296209 34.09444),restaurants,True
2,2,East Hollywood Apartment 1 Bedroom 1 Bath,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-apartment/7320141695.html""></div>
</div>
charming one bedroom one bathroom apartment for rent located in the city of los angeles, close to freeways,shopping centers school and much more. walking in to this apartment you will see the spacious livingroom with wood flooring. kitchen come with vinyl plank flooring and stainless steel stove and refrigerator.<br/>
<br/>
street parking only<br/>
no pets<br/>
<br/>
equal housing opportunity provider<br/>
<br/>
professionally managed by day and associates<br/>
www.dayandassociatespm.com<br/>
showings are monday-friday from 9:00 am to 5:00 pm call  <a class=""show-contact"" data-href=""/reply/lax/apa/7320141695/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
saturday and sunday from 10:00 am to 4:00 pm call or text  <a class=""show-contact"" data-href=""/reply/lax/apa/7320141695/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (5154 Fountain Ave - 5154 1/4 Los Angeles, CA)","$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-apartment/7320141695.html,34.09,-118.2944,POINT (-118.2944 34.09),art,True
3,3,East Hollywood Spanish Studio Remodeled,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7316487211.html""></div>
</div>
gillman apartments has put the finishing touches on our latest pet friendly studio apartment conveniently located between hollywood, silverlake and koreatown. close to freeway. close to bus lines. the unit itself is located on second floor with windows facing the north side. no direct sun/heat. new tiled floor, kitchen, bathroom. this vintage building has many architectural features not found in the modern buildings. for those tenants that can appreciate vintage la, this unit will not last long at this price. call or text rebecca who can set up a time for you to safely preview.  laundry in the basement. downside is street parking only.    </section>", (Los Angeles),"$1,295",,440.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7316487211.html,34.088891,-118.302097,POINT (-118.302097 34.088891),art,True
4,4,East Hollywood Spanish Studio ALL UTILIITES,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7324473114.html""></div>
</div>
why pay silverlake prices. gillman apartments has a rare opening in our 1930s spanish style pet friendly building in east hollywood. just a few blocks from the metro at santa monica and vermont, our location is close to anywhere you need to go in los angeles.  we are aware of all the changes covid has brought over the past year, so we have set up sitting areas in the back, with table umbrella and string lights. we have also opened up the roof area with tables and chairs to view the skyline and the stars at night.  the unit itself has been updated with tile flooring, tile counter on new white kitchen cabinets refrigerator and stove, and an updated bathroom. unit 203 faces the north cooler side in the warm summer months quickly approaching.  come walk the property and see what this up and coming area has to offer.  these units go quick with all utilities included.  downside is street parking only, but by permit, so not as bad as many areas. you can also ask rebecca for ideas on how to approach other buildings in the area to get a parking spot.    </section>", (East Hollywood),"$1,495",,475.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-spanish/7324473114.html,34.091419,-118.297529,POINT (-118.297529 34.091419),art,True
10,10,OPEN HOUSE!!! RENOVATED TWO BEDROOM APT IN EAST HOLLYWOOD AREA!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-open-house-renovated-two/7326187376.html""></div>
</div>
open house!<br/>
<br/>
this unit will rent fast so don't wait! located in trendy east hollywood seconds from the 101 freeway, walking distance to endless restaurants, cafes and minutes from hollywood walk a fame, pantages theatre, amoebe music, runyon canyon, ucb and much more!<br/>
<br/>
rent is $2,200<br/>
deposit $1,000 ***deposit special only applies to good credit with no collections***<br/>
small pet welcome with additional $250 deposit.<br/>
application fee $30.<br/>
<br/>
this unit is located at 839 n normandie ave (840 n ardmore ave).<br/>
this is a two bedroom apartment with one bathroom.<br/>
one assigned compact parking space.<br/>
1 year lease.<br/>
<br/>
if you have any questions and would like to schedule a viewing please text or call maria at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326187376/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
the apartment comes with:<br/>
<br/>
*fresh paint.<br/>
*new vinyl floors throughout.<br/>
*new tile floors.<br/>
*smooth ceiling with recess lights.<br/>
*new kitchen cabinets.<br/>
*new granite counter tops.<br/>
*we provide new stove and new fridge.<br/>
*all windows with new vertical blinds.<br/>
*updated bathroom.<br/>
*wall a/c units.<br/>
*much more!<br/>
<br/>
please contact maria to schedule a viewing  <a class=""show-contact"" data-href=""/reply/lax/apa/7326187376/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
to check out other available listings please visit us at www.elitproperties.com<br/>
<br/>
nearby schools include immaculate heart of mary school, ramona elementary school and kingsley elementary school. 839 n. normandie ave is near lemon grove recreation center, madison west park and barnsdall park.    </section>", (840 N Ardmore Ave),"$2,200",2.0,850.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-open-house-renovated-two/7326187376.html,34.084741,-118.301909,POINT (-118.301909 34.084741),walk,True
12,12,Remodeled Upstairs Unit with $ 2 Parking Option in East Hollywood C,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-upstairs-unit/7326062589.html""></div>
</div>
<h1>remodeled upstairs unit with $ 2 parking option in east hollywood close to los feliz and silver lake | water, gas, trash paid </h1><h2>4641 la mirada #10, los angeles ca 90029</h2><hr/>
<p>this remodeled unit features hardwood flooring, updated kitchen with a stove, dishwasher and fridge. the owner pays for water, trash and gas. plus, you can rent one parking space for $2 monthly - this isn't a typo! the complex is located between silverlake and los feliz, in the center of it all! only a few minutes to: the vista theater, intelligentsia, sqirl, sunset junction, kaiser, the children's hospital and metro red line. sorry, no pets. come and make it yours!

</p>
<hr/>
<p><b>lease terms</b><br/>
one year minimum lease, deposit same as rent, no pets, water, trash and gas paid, 1 assigned parking for $2 monthly, shared coin laundry</p>
<hr/> <u>c o n t a c t</u><br/> <br/><b>zaya</b><br/> <a class=""show-contact"" data-href=""/reply/lax/apa/7326062589/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>realtor bre #01902023<br/><br/><b>veryzaya.com</b><br/>for next showing times, lots of photos and complete information, please visit us online for free <hr/><br/>
<p><b>got</b>  a <b> vacancy?</b><br/>call or email zaya</p><p><b>buying</b>  or  <b>selling ?</b><br/>call or email zaya</p> </section>", (East Hollywood),"$1,595",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-upstairs-unit/7326062589.html,34.094509,-118.290132,POINT (-118.290132 34.094509),,False
14,14,Silver lake East Hollywood Modern Bungalow,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/sub/d/los-angeles-silver-lake-east-hollywood/7325593992.html""></div>
</div>
this is to rent the whole unit, you will have all to yourself!<br/>
stunning modern bungalow with a huge backyard right in the heart of virgil village, a few streets over from silver lake. 10 minute walk to sunset junction, walk to the new silver lake inn or erewhon's. completely furnished, mid-century modern, wd in the unit, portable dishwasher, ac, and more. looking for someone to sublet for either a few months or longer, flexible, but really looking for the right person who will take good care of my home. all utilities included. serious inquires only. will be required to do a credit check, must be over 700. 1 month totally refundable deposit, plus $200 non-refundable cleaning fee.<br/>
<br/>
please note: the backyard grass isn't really green anymore sadly. still a great yard though!<br/>
parking is not easy, but there is a paid secure monthly lot down the street if preferred.    </section>", (Virgil Village),"$2,500",,700.0,https://losangeles.craigslist.org/lac/sub/d/los-angeles-silver-lake-east-hollywood/7325593992.html,34.09,-118.2944,POINT (-118.2944 34.09),modern,True
17,17,Charming Studio In East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-charming-studio-in-east/7321406982.html""></div>
</div>
1233 n ardmore ave los angeles, ca 90029<br/>
<br/>
studio in east hollywood. located on the 1st of a 2-story building! one building, 12 units total. unit features the main room, full bathroom, and a separate small kitchen. unit is equipped with a stove, refrigerator, and ceiling fan. tile and laminate flooring throughout. large closet space. laundry onsite, coin operated. tenant pays for electricity and trash only.  owner pays for water, sewer, and gas. one year lease. deposit is equal to one month's rent on approved credit. proof of renter's insurance required at move in. no pets.<br/>
<br/>
great 101 freeway access - close to bus line too.<br/>
<br/>
application process:<br/>
completed application form from all prospective tenants 18yr+. copy of id. proof of income. $32 application fee.<br/>
<br/>
showings are by appointment only. <br/>
photos from similar previous vacancy.<br/>
</section>", (Hollywood),"$1,125",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-charming-studio-in-east/7321406982.html,34.093776,-118.301409,POINT (-118.301409 34.093776),charming,True
20,20,RENOVATED TWO BEDROOM APT IN EAST HOLLYWOOD! SMALL PET WELCOME!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-two-bedroom-apt/7324504038.html""></div>
</div>
open house!!<br/>
<br/>
this unit will rent fast so don't wait! located in trendy east hollywood seconds from the 101 freeway, walking distance to endless restaurants, cafes and minutes from hollywood walk a fame, pantages theatre, amoebe music, runyon canyon, ucb and much more!<br/>
<br/>
rent is $2,200<br/>
deposit $1,000 ***deposit special only applies to good credit with no collections***<br/>
small pet welcome with additional $250 deposit.<br/>
application fee $30.<br/>
<br/>
this unit is located at 839 n normandie ave (840 n ardmore ave).<br/>
this is a two bedroom apartment with one bathroom.<br/>
one assigned compact parking space.<br/>
1 year lease.<br/>
<br/>
if you have any questions and would like to schedule a viewing please text or call maria at  <a class=""show-contact"" data-href=""/reply/lax/apa/7324504038/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
the apartment comes with:<br/>
<br/>
*fresh paint.<br/>
*new vinyl floors throughout.<br/>
*new tile floors.<br/>
*smooth ceiling with recess lights.<br/>
*new kitchen cabinets.<br/>
*new granite counter tops.<br/>
*we provide new stove and new fridge.<br/>
*all windows with new vertical blinds.<br/>
*updated bathroom.<br/>
*wall a/c units.<br/>
*much more!<br/>
<br/>
please contact maria to schedule a viewing  <a class=""show-contact"" data-href=""/reply/lax/apa/7324504038/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
to check out other available listings please visit us at www.elitproperties.com<br/>
<br/>
nearby schools include immaculate heart of mary school, ramona elementary school and kingsley elementary school. 839 n. normandie ave is near lemon grove recreation center, madison west park and barnsdall park.    </section>", (840 N Ardmore Ave),"$2,200",2.0,850.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-two-bedroom-apt/7324504038.html,34.084741,-118.301909,POINT (-118.301909 34.084741),walk,True
