,word,word_count,stopword
2,br,5426,False
8,park,2089,False
9,div,2085,False
12,district,1981,False
17,space,1499,False
18,section,1388,False
19,contact,1153,False
20,la,1064,False
23,city,995,False
24,square,994,False
26,feet,954,False
30,san,901,False
31,unit,899,False
32,building,895,False
33,code,885,False
34,rent,860,False
35,hollywood,841,False
37,lease,783,False
38,p,724,False
40,link,711,False
41,area,710,False
42,postp,695,False
43,classprintqrcodelabelqr,695,False
44,idpostingbody,695,False
45,printqrcodecontainer,695,False
46,classprintinformation,695,False
47,classprintqrcode,695,False
48,los,686,False
49,hills,685,False
51,south,658,False
52,el,640,False
53,available,635,False
54,highland,635,False
56,please,590,False
57,car,586,False
58,heights,581,False
60,pasadena,568,False
61,beach,567,False
62,one,566,False
64,may,532,False
65,parking,503,False
66,street,502,False
67,angeles,502,False
69,lake,477,False
70,real,473,False
73,amp,469,False
74,glendale,465,False
75,central,461,False
76,common,450,False
79,show,438,False
80,dtla,438,False
81,new,438,False
82,valley,429,False
83,relnofollow,424,False
84,titleclick,424,False
85,classshowcontact,424,False
86,infoshow,424,False
87,href,424,False
89,infoa,421,False
90,realty,406,False
91,year,402,False
92,rate,397,False
93,office,395,False
94,information,395,False
96,santa,393,False
97,terms,392,False
98,nearby,391,False
99,great,390,False
100,retail,387,False
101,datahrefreplylaxapa__service_id__,386,False
102,rock,380,False
103,listed,379,False
105,andor,378,False
106,eagle,375,False
107,disclosures,374,False
108,factor,374,False
109,guaranteed,374,False
110,quixotic,374,False
111,burbank,373,False
113,location,372,False
114,auto,364,False
117,floor,351,False
118,access,349,False
119,echo,349,False
120,fashion,347,False
121,website,345,False
122,month,343,False
123,per,342,False
124,located,339,False
125,theres,338,False
126,bedroom,336,False
127,historic,332,False
128,us,330,False
129,private,326,False
130,subject,320,False
132,apartment,314,False
133,home,313,False
134,dealer,312,False
135,kitchen,312,False
136,vernon,310,False
137,listings,305,False
138,room,304,False
140,huntington,297,False
141,monte,294,False
142,bank,287,False
143,monterey,284,False
144,hill,283,False
146,leases,281,False
147,cities,280,False
149,commerce,277,False
150,shared,277,False
151,laundry,274,False
152,pet,270,False
153,close,270,False
154,lot,270,False
155,large,270,False
156,downtown,270,False
157,pico,269,False
158,silver,263,False
159,core,262,False
161,union,260,False
162,community,259,False
163,st,256,False
165,east,254,False
166,call,253,False
167,includes,251,False
168,westlake,251,False
169,temple,250,False
170,else,250,False
171,old,250,False
172,arcadia,250,False
173,lincoln,250,False
174,media,249,False
175,rosemead,249,False
176,estate,249,False
177,deposit,248,False
178,west,247,False
179,change,247,False
180,little,247,False
182,full,242,False
183,financial,240,False
184,onsite,239,False
186,meet,237,False
187,leasing,236,False
188,alhambra,235,False
190,quick,231,False
