,index,word,word_count,count_per_10posts
6,6,central,405,6.117824773413897
12,12,private,292,4.410876132930514
15,15,historic,254,3.8368580060422963
34,34,walk,205,3.0966767371601205
42,42,security,192,2.9003021148036257
68,68,restaurants,169,2.552870090634441
102,102,gated,151,2.280966767371601
126,126,modern,142,2.145015105740181
194,194,amenities,132,1.9939577039274925
256,256,art,99,1.4954682779456194
268,268,stadium,96,1.4501510574018128
281,281,bars,92,1.3897280966767371
370,370,lounge,71,1.0725075528700905
374,374,walking,69,1.042296072507553
447,447,prime,59,0.891238670694864
630,630,luxury,48,0.7250755287009064
648,648,diverse,46,0.6948640483383686
1405,1405,quirky,21,0.31722054380664655
1438,1438,charming,20,0.3021148036253777
1455,1455,safe,20,0.3021148036253777
1525,1525,walkable,18,0.2719033232628399
1578,1578,unique,17,0.256797583081571
1969,1969,accessible,11,0.1661631419939577
2201,2201,character,8,0.12084592145015105
2205,2205,coming,8,0.12084592145015105
2329,2329,luxurious,7,0.10574018126888218
3042,3042,outdoors,4,0.060422960725075525
3085,3085,quaint,4,0.060422960725075525
3306,3306,hip,3,0.04531722054380665
3682,3682,beer,2,0.030211480362537763
3839,3839,authentic,2,0.030211480362537763
3943,3943,cultural,2,0.030211480362537763
4280,4280,upscale,2,0.030211480362537763
4794,4794,vibe,1,0.015105740181268881
5370,5370,vegan,1,0.015105740181268881
5371,5371,gluten,1,0.015105740181268881
