,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon
0,"BEAUTIFUL, LARGE AND BRIGHT 1 BED 1 BATH - HIGHLAND PARK!!!RE1","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-large-and-bright/7314940327.html""></div>
</div>
MOVE IN SPECIAL, 3rd MONTH FREE RENT!!!<br/>
<br/>
THIS APARTMENT IS A CHARMING, COZY AND HOME WARMING, 1 BED 1 BATH APT. LOCATED NEAR HIGHLAND PARK!!!<br/>
THE APARTMENT FEATURES HARDWOOD FLOORING THROUGHOUT, ELEGANT TILES IN THE KITCHEN, LOTS OF NATURAL LIGHT AND WAS FRESHLY PAINTED FOR A BRIGHTER EXPERIENCE.<br/>
<br/>
APARTMENT FEATURES:<br/>
*STOVE/OVEN*<br/>
*REFRIGERATOR*<br/>
*FRESHLY PAINTED*<br/>
*BRAND NEW MODERN LIGHT FIXTURES WITH CEILING FANS*<br/>
*PARQUET WOOD FLOORING THROUGHOUT WITH ELEGANT TILES IN KITCHEN*<br/>
*GREAT CLOSET SPACE*<br/>
*LOTS OF KITCHEN CABINET SPACE*<br/>
<br/>
<br/>
BUILDING FEATURES:<br/>
*WASH AND DRYER ON SITE*<br/>
<br/>
<br/>
UTILITIES:<br/>
WATER AND TRASH INCLUDED!!!<br/>
<br/>
<br/>
PARKING INCLUDED!!!<br/>
<br/>
<br/>
4655 North Figueroa Street has a Walk Score of 68 out of 100. This location is Somewhat Walkable so some errands can be accomplished on foot.<br/>
<br/>
4655 North Figueroa Street is a three minute walk from the Metro Gold Line (804) at the Southwest Museum Station stop.<br/>
<br/>
This location is in the Arroyo Seco neighborhood in Los Angeles. Nearby parks include Sycamore Grove Park, Montecito Heights Recreation Center and Smith Recreation Center.<br/>
<br/>
MONTHLY RENT $1,550.00, DEPOSIT $1,550.00, PET DEPOSIT $250.00, APPLICATION FEE $30.00 PER APPLICANT.<br/>
12 MONTH LEASE<br/>
<br/>
PLEASE CALL OR TEXT OUR LEASING TEAM AT  <a class=""show-contact"" data-href=""/reply/lax/apa/7314940327/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (MOVE IN SPECIAL, 3rd MONTH FREE RENT!!!)","$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-large-and-bright/7314940327.html,34.099532,-118.204403
1,REMODELED 1+1 in Highland Park With Wood Style Flrs + SS Appliances,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-11-in-highland/7323627642.html""></div>
</div>
LOCATION:<br/>
315 South Avenue 55<br/>
Highland Park, CA<br/>
90042<br/>
<br/>
CALL:  <a class=""show-contact"" data-href=""/reply/lax/apa/7323627642/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
<br/>
UNIT AMENITIES<br/>
- Hardwood Style Floors Throughout<br/>
- Stainless Steel Appliances<br/>
- Air Conditioning<br/>
- Ceiling Fan<br/>
- Dishwasher <br/>
- Disposal<br/>
- Microwave <br/>
- Gas Range<br/>
- Refrigerator<br/>
<br/>
<br/>
PROPERTY AMENITIES<br/>
- Laundry On-site<br/>
<br/>
<br/>
PET POLICY<br/>
Pets are Welcome. <br/>
Additional Fees and Deposit May Apply. <br/>
Call for Details and Restrictions.<br/>
<br/>
<br/>
<br/>
<br/>
Square Footage Is Approximate. Price and availability are subject to change.<br/>
<br/>
<br/>
</section>", (Highland Park),"$1,850",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-11-in-highland/7323627642.html,34.103609,-118.194491
2,"1+1 in Highland Park, Central Air, Pet-Friendly, Electronic Thermostat","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-central/7317246397.html""></div>
</div>
Unit Availability: June 05, 2021<br/>
<br/>
5800-20 Marmion Way, Highland Park, CA 90042<br/>
<br/>
<br/>
APARTMENT FEATURES:<br/>
- Central Air<br/>
- Dishwasher<br/>
- Energy Efficient Appliances<br/>
- Electronic Thermostat<br/>
- Hardwood Floors<br/>
- In Unit Washer and Dryer<br/>
- Microwave<br/>
- Open Shelving<br/>
- Private Patio<br/>
- Refrigerator (In Select Units)<br/>
- Walk-in Closet<br/>
<br/>
COMMUNITY FEATURES:<br/>
- Common Work Space<br/>
- Covered Parking<br/>
- EV (Electric Vehicle) Charging Stations<br/>
- Garage<br/>
- Laundry Facilities<br/>
- Mailroom<br/>
- Off Street Parking<br/>
<br/>
<br/>
<br/>
Square Footage Is Approximate. <br/>
Price and availability are subject to change.<br/>
<br/>
<br/>
Cities: Echo Park, Silver Lake, Los Feliz, Atwater Village, South Pasadena, Eagle Rock, Cypress Park, Glendale, Omaha Heights, Pasadena, Northeast Los Angeles, Montecito Heights, Alhambra    </section>", (Highland Park/Eagle Rock),"$2,000",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-central/7317246397.html,34.110908,-118.192405
3,"Wood Style Floors, Central Air, Renovated 1 Bedroom in Highland Park","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-wood-style-floors-central/7324910830.html""></div>
</div>
Unit Availability : June 05, 2021<br/>
<br/>
<br/>
Community Amenities<br/>
- Garage<br/>
- EV (Electric Vehicle) Charging Stations<br/>
- Mailroom<br/>
- Off Street Parking<br/>
- Common Work Space<br/>
- Covered Parking<br/>
- Laundry Facilities<br/>
<br/>
Apartment Amenities<br/>
- In Unit Washer and Dryer<br/>
- Refrigerator (In Select Units)<br/>
- Dishwasher<br/>
- Energy Efficient Appliances<br/>
- Electronic Thermostat<br/>
- Walk-in Closet<br/>
- Hardwood Floors<br/>
- Central Air<br/>
- Microwave<br/>
- Open Shelving<br/>
- Private Patio<br/>
<br/>
<br/>
5800-20 Marmion Way <br/>
Highland Park, CA<br/>
<br/>
</section>",,"$2,000",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-wood-style-floors-central/7324910830.html,34.110908,-118.192405
4,Washer/Dryer in Unit!!! JR. 1 Bedroom in PRIME Highland Park,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-dryer-in-unit-jr/7323126202.html""></div>
</div>
Monte Vista Apartments invites residents to experience Highland Park living at its finest. With gated parking, A/C in all units, In-Unit Laundry, and ample outdoor space, Monte Vista Apartments provides residents with everything they need to live their busy lives.<br/>
<br/>
These luxurious Jr-1 Bedroom 1 Bathroom apartments offer a truly comfortable and modern apartment experience. Each apartment features stainless steel appliances and recessed lighting and a balcony. This unit is perfect for any group of individuals looking to explore all that Highland Park has to offer.    </section>", (Highland Park),"$1,795",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-dryer-in-unit-jr/7323126202.html,34.111751,-118.194759
5,1+1 in Highland Park | SS Appliances | Wood Style Flrs | Upgraded,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-ss/7326305646.html""></div>
</div>
FEATURES<br/>
- Dishwasher <br/>
- Ceiling Fan<br/>
- Gas Range<br/>
- Disposal<br/>
- Hardwood Style Floors Throughout<br/>
- Microwave <br/>
- Air Conditioning<br/>
- Stainless Steel Appliances<br/>
- Refrigerator<br/>
<br/>
<br/>
COMMUNITY AMENITIES<br/>
- Laundry On-site<br/>
<br/>
<br/>
PET POLICY<br/>
Cats and Dogs Welcome. <br/>
Additional Fees and Deposit May Apply. <br/>
Call for Details and Restrictions.<br/>
<br/>
<br/>
Square Footage Is Approximate. <br/>
Price and availability are subject to change.<br/>
<br/>
<br/>
Food4Less, Ralphs, Vons, Trader Joes, El Super, One Colorado, Glendale Fashion Center, The Americana, 10 Fwy, Observatory, Dodger Stadium, Elysian Park, Ernest E. Debs Park, Old Pasadena, Arts District LA, PCC, LACM , LA City College, Abraham Lincoln HS, Franklin HS, Mount Washington ES,  MT. Washington Pre-School, Homestate, La Fuente, Blazing Stone Pizza, Otium, Yang Chow, LA Zoo, Griffth Park    </section>", (Highland Park),"$1,850",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-ss/7326305646.html,34.103609,-118.194491
6,1 Bedroom in Highland Park + Private Patio + Central Air,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-highland-park/7326308464.html""></div>
</div>
5800-20 Marmion Way Highland Park, CA 90042  <br/>
<br/>
<br/>
<br/>
APARTMENT FEATURES:<br/>
- Private Patio<br/>
- Refrigerator*<br/>
- Walk-in Closet<br/>
- Central Air<br/>
- Dishwasher<br/>
- Energy Efficient Appliances<br/>
- Electronic Thermostat<br/>
- Hardwood Floors<br/>
- In Unit Washer and Dryer<br/>
- Microwave<br/>
<br/>
COMMUNITY FEATURES:<br/>
- Common Work Space<br/>
- Covered Parking<br/>
- EV (Electric Vehicle) Charging Stations<br/>
- Garage<br/>
- Laundry Facilities<br/>
<br/>
<br/>
PET POLICY<br/>
Pets Welcome with an Additional Deposit.<br/>
Call for Details and Restrictions.<br/>
<br/>
Square Footage Is Approximate. <br/>
Price and availability are subject to change.<br/>
</section>", (Pasadena/Highland Park),"$1,965",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-highland-park/7326308464.html,34.110908,-118.192405
7,"Completely Renovated 1 Bedroom in Highland Park-W/D in Unit, Garage","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-completely-renovated/7326308335.html""></div>
</div>
Amenities:<br/>
- Dishwasher <br/>
- Central Air <br/>
- Garage <br/>
- Microwave <br/>
- Hardwood Floors <br/>
- Walk-in Closet <br/>
- Electronic Thermostat <br/>
- Private Patio <br/>
- Laundry Facilities <br/>
- Refrigerator* <br/>
- In Unit Washer and Dryer <br/>
- EV (Electric Vehicle) Charging Stations <br/>
<br/>
<br/>
Pet Policy:<br/>
Pets Welcome with an Additional Deposit. <br/>
Call for Details and Restrictions. <br/>
<br/>
<br/>
We're here to help every step of the way. Call and make an appointment with us today!<br/>
On-site Tours Available By Appointment.<br/>
</section>",,"$1,965",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-completely-renovated/7326308335.html,34.110099,-118.191884
8,Unit just became available in Highland Park,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-unit-just-became-available/7322579176.html""></div>
</div>
Fully renovated unit. <br/>
<br/>
Very near the freeway, minutes by Metro train to downtown or Pasadena, convenient to schools and markets.<br/>
<br/>
UNIT INFO:<br/>
<br/>
- Tile and laminate flooring<br/>
<br/>
- Freshly painted walls and cabinetry<br/>
<br/>
- Fans in dining area and bedroom<br/>
<br/>
- Fridge<br/>
<br/>
- Stove<br/>
<br/>
- A/C Unit<br/>
<br/>
AMENITIES:<br/>
<br/>
- Washer/Dryer On-Site<br/>
<br/>
- On-site Swimming Pool<br/>
<br/>
- On-site Parking (1x spot only)<br/>
<br/>
PAID AMENITIES:<br/>
<br/>
- Trash and Water<br/>
<br/>
<br/>
TERMS:<br/>
<br/>
- 1st Month Rent + Security Deposit Due With Signed Lease. Credit Check is $40.<br/>
<br/>
<br/>
To set up an appointment call or txt Chris @  <a class=""show-contact"" data-href=""/reply/lax/apa/7322579176/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (407 N Ave 50, Los Angeles, CA)","$1,995",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-unit-just-became-available/7322579176.html,34.114500,-118.192900
9,Washer and Dryer | Pet-Friendly | Renovated 1+1 in Highland Park,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-and-dryer-pet/7326128480.html""></div>
</div>
Unit Availability: June 05, 2021<br/>
<br/>
5800-20 Marmion Way Highland Park, CA 90042  <br/>
<br/>
<br/>
APARTMENT FEATURES:<br/>
- Central Air<br/>
- Dishwasher<br/>
- Energy Efficient Appliances<br/>
- Electronic Thermostat<br/>
- Hardwood Floors<br/>
- In Unit Washer and Dryer<br/>
- Microwave<br/>
- Open Shelving<br/>
- Private Patio<br/>
- Refrigerator (In Select Units)<br/>
- Walk-in Closet<br/>
<br/>
COMMUNITY FEATURES:<br/>
- Common Work Space<br/>
- Covered Parking<br/>
- EV (Electric Vehicle) Charging Stations<br/>
- Garage<br/>
- Laundry Facilities<br/>
- Mailroom<br/>
- Off Street Parking<br/>
<br/>
<br/>
PET POLICY<br/>
Pets Welcome with an Additional Deposit.<br/>
Call for Details and Restrictions.<br/>
<br/>
Square Footage Is Approximate. <br/>
Price and availability are subject to change.<br/>
<br/>
5800-20 Marmion Way Highland Park, CA 90042  <br/>
<br/>
<br/>
APARTMENT FEATURES:<br/>
- Central Air<br/>
- Dishwasher<br/>
- Energy Efficient Appliances<br/>
- Electronic Thermostat<br/>
- Hardwood Floors<br/>
- In Unit Washer and Dryer<br/>
- Microwave<br/>
- Open Shelving<br/>
- Private Patio<br/>
- Refrigerator (In Select Units)<br/>
- Walk-in Closet<br/>
<br/>
COMMUNITY FEATURES:<br/>
- Common Work Space<br/>
- Covered Parking<br/>
- EV (Electric Vehicle) Charging Stations<br/>
- Garage<br/>
- Laundry Facilities<br/>
- Mailroom<br/>
- Off Street Parking<br/>
<br/>
<br/>
PET POLICY<br/>
Pets Welcome with an Additional Deposit.<br/>
Call for Details and Restrictions.<br/>
<br/>
Square Footage Is Approximate. <br/>
Price and availability are subject to change.<br/>
</section>", (Highland Park/Eagle Rock),"$2,000",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-and-dryer-pet/7326128480.html,34.110908,-118.192405
