,Unnamed: 0,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon,geometry,code_words,cw_present
0,0,"BEAUTIFUL, LARGE AND BRIGHT 1 BED 1 BATH - HIGHLAND PARK!!!RE1","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-large-and-bright/7314940327.html""></div>
</div>
move in special, 3rd month free rent!!!<br/>
<br/>
this apartment is a charming, cozy and home warming, 1 bed 1 bath apt. located near highland park!!!<br/>
the apartment features hardwood flooring throughout, elegant tiles in the kitchen, lots of natural light and was freshly painted for a brighter experience.<br/>
<br/>
apartment features:<br/>
*stove/oven*<br/>
*refrigerator*<br/>
*freshly painted*<br/>
*brand new modern light fixtures with ceiling fans*<br/>
*parquet wood flooring throughout with elegant tiles in kitchen*<br/>
*great closet space*<br/>
*lots of kitchen cabinet space*<br/>
<br/>
<br/>
building features:<br/>
*wash and dryer on site*<br/>
<br/>
<br/>
utilities:<br/>
water and trash included!!!<br/>
<br/>
<br/>
parking included!!!<br/>
<br/>
<br/>
4655 north figueroa street has a walk score of 68 out of 100. this location is somewhat walkable so some errands can be accomplished on foot.<br/>
<br/>
4655 north figueroa street is a three minute walk from the metro gold line (804) at the southwest museum station stop.<br/>
<br/>
this location is in the arroyo seco neighborhood in los angeles. nearby parks include sycamore grove park, montecito heights recreation center and smith recreation center.<br/>
<br/>
monthly rent $1,550.00, deposit $1,550.00, pet deposit $250.00, application fee $30.00 per applicant.<br/>
12 month lease<br/>
<br/>
please call or text our leasing team at  <a class=""show-contact"" data-href=""/reply/lax/apa/7314940327/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (MOVE IN SPECIAL, 3rd MONTH FREE RENT!!!)","$1,550",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-large-and-bright/7314940327.html,34.099532,-118.204403,POINT (-118.204403 34.099532),art,True
1,1,REMODELED 1+1 in Highland Park With Wood Style Flrs + SS Appliances,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-11-in-highland/7323627642.html""></div>
</div>
location:<br/>
315 south avenue 55<br/>
highland park, ca<br/>
90042<br/>
<br/>
call:  <a class=""show-contact"" data-href=""/reply/lax/apa/7323627642/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
<br/>
unit amenities<br/>
- hardwood style floors throughout<br/>
- stainless steel appliances<br/>
- air conditioning<br/>
- ceiling fan<br/>
- dishwasher <br/>
- disposal<br/>
- microwave <br/>
- gas range<br/>
- refrigerator<br/>
<br/>
<br/>
property amenities<br/>
- laundry on-site<br/>
<br/>
<br/>
pet policy<br/>
pets are welcome. <br/>
additional fees and deposit may apply. <br/>
call for details and restrictions.<br/>
<br/>
<br/>
<br/>
<br/>
square footage is approximate. price and availability are subject to change.<br/>
<br/>
<br/>
</section>", (Highland Park),"$1,850",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-11-in-highland/7323627642.html,34.103609,-118.194491,POINT (-118.194491 34.103609),amenities,True
2,2,"1+1 in Highland Park, Central Air, Pet-Friendly, Electronic Thermostat","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-central/7317246397.html""></div>
</div>
unit availability: june 05, 2021<br/>
<br/>
5800-20 marmion way, highland park, ca 90042<br/>
<br/>
<br/>
apartment features:<br/>
- central air<br/>
- dishwasher<br/>
- energy efficient appliances<br/>
- electronic thermostat<br/>
- hardwood floors<br/>
- in unit washer and dryer<br/>
- microwave<br/>
- open shelving<br/>
- private patio<br/>
- refrigerator (in select units)<br/>
- walk-in closet<br/>
<br/>
community features:<br/>
- common work space<br/>
- covered parking<br/>
- ev (electric vehicle) charging stations<br/>
- garage<br/>
- laundry facilities<br/>
- mailroom<br/>
- off street parking<br/>
<br/>
<br/>
<br/>
square footage is approximate. <br/>
price and availability are subject to change.<br/>
<br/>
<br/>
cities: echo park, silver lake, los feliz, atwater village, south pasadena, eagle rock, cypress park, glendale, omaha heights, pasadena, northeast los angeles, montecito heights, alhambra    </section>", (Highland Park/Eagle Rock),"$2,000",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-central/7317246397.html,34.110908,-118.192405,POINT (-118.192405 34.110908),central,True
3,3,"Wood Style Floors, Central Air, Renovated 1 Bedroom in Highland Park","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-wood-style-floors-central/7324910830.html""></div>
</div>
unit availability : june 05, 2021<br/>
<br/>
<br/>
community amenities<br/>
- garage<br/>
- ev (electric vehicle) charging stations<br/>
- mailroom<br/>
- off street parking<br/>
- common work space<br/>
- covered parking<br/>
- laundry facilities<br/>
<br/>
apartment amenities<br/>
- in unit washer and dryer<br/>
- refrigerator (in select units)<br/>
- dishwasher<br/>
- energy efficient appliances<br/>
- electronic thermostat<br/>
- walk-in closet<br/>
- hardwood floors<br/>
- central air<br/>
- microwave<br/>
- open shelving<br/>
- private patio<br/>
<br/>
<br/>
5800-20 marmion way <br/>
highland park, ca<br/>
<br/>
</section>",,"$2,000",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-wood-style-floors-central/7324910830.html,34.110908,-118.192405,POINT (-118.192405 34.110908),central,True
4,4,Washer/Dryer in Unit!!! JR. 1 Bedroom in PRIME Highland Park,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-dryer-in-unit-jr/7323126202.html""></div>
</div>
monte vista apartments invites residents to experience highland park living at its finest. with gated parking, a/c in all units, in-unit laundry, and ample outdoor space, monte vista apartments provides residents with everything they need to live their busy lives.<br/>
<br/>
these luxurious jr-1 bedroom 1 bathroom apartments offer a truly comfortable and modern apartment experience. each apartment features stainless steel appliances and recessed lighting and a balcony. this unit is perfect for any group of individuals looking to explore all that highland park has to offer.    </section>", (Highland Park),"$1,795",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-dryer-in-unit-jr/7323126202.html,34.111751,-118.194759,POINT (-118.194759 34.111751),art,True
5,5,1+1 in Highland Park | SS Appliances | Wood Style Flrs | Upgraded,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-ss/7326305646.html""></div>
</div>
features<br/>
- dishwasher <br/>
- ceiling fan<br/>
- gas range<br/>
- disposal<br/>
- hardwood style floors throughout<br/>
- microwave <br/>
- air conditioning<br/>
- stainless steel appliances<br/>
- refrigerator<br/>
<br/>
<br/>
community amenities<br/>
- laundry on-site<br/>
<br/>
<br/>
pet policy<br/>
cats and dogs welcome. <br/>
additional fees and deposit may apply. <br/>
call for details and restrictions.<br/>
<br/>
<br/>
square footage is approximate. <br/>
price and availability are subject to change.<br/>
<br/>
<br/>
food4less, ralphs, vons, trader joes, el super, one colorado, glendale fashion center, the americana, 10 fwy, observatory, dodger stadium, elysian park, ernest e. debs park, old pasadena, arts district la, pcc, lacm , la city college, abraham lincoln hs, franklin hs, mount washington es,  mt. washington pre-school, homestate, la fuente, blazing stone pizza, otium, yang chow, la zoo, griffth park    </section>", (Highland Park),"$1,850",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-11-in-highland-park-ss/7326305646.html,34.103609,-118.194491,POINT (-118.194491 34.103609),amenities,True
6,6,1 Bedroom in Highland Park + Private Patio + Central Air,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-highland-park/7326308464.html""></div>
</div>
5800-20 marmion way highland park, ca 90042  <br/>
<br/>
<br/>
<br/>
apartment features:<br/>
- private patio<br/>
- refrigerator*<br/>
- walk-in closet<br/>
- central air<br/>
- dishwasher<br/>
- energy efficient appliances<br/>
- electronic thermostat<br/>
- hardwood floors<br/>
- in unit washer and dryer<br/>
- microwave<br/>
<br/>
community features:<br/>
- common work space<br/>
- covered parking<br/>
- ev (electric vehicle) charging stations<br/>
- garage<br/>
- laundry facilities<br/>
<br/>
<br/>
pet policy<br/>
pets welcome with an additional deposit.<br/>
call for details and restrictions.<br/>
<br/>
square footage is approximate. <br/>
price and availability are subject to change.<br/>
</section>", (Pasadena/Highland Park),"$1,965",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-highland-park/7326308464.html,34.110908,-118.192405,POINT (-118.192405 34.110908),art,True
7,7,"Completely Renovated 1 Bedroom in Highland Park-W/D in Unit, Garage","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-completely-renovated/7326308335.html""></div>
</div>
amenities:<br/>
- dishwasher <br/>
- central air <br/>
- garage <br/>
- microwave <br/>
- hardwood floors <br/>
- walk-in closet <br/>
- electronic thermostat <br/>
- private patio <br/>
- laundry facilities <br/>
- refrigerator* <br/>
- in unit washer and dryer <br/>
- ev (electric vehicle) charging stations <br/>
<br/>
<br/>
pet policy:<br/>
pets welcome with an additional deposit. <br/>
call for details and restrictions. <br/>
<br/>
<br/>
we're here to help every step of the way. call and make an appointment with us today!<br/>
on-site tours available by appointment.<br/>
</section>",,"$1,965",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-completely-renovated/7326308335.html,34.110099,-118.191884,POINT (-118.191884 34.110099),amenities,True
8,8,Unit just became available in Highland Park,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-unit-just-became-available/7322579176.html""></div>
</div>
fully renovated unit. <br/>
<br/>
very near the freeway, minutes by metro train to downtown or pasadena, convenient to schools and markets.<br/>
<br/>
unit info:<br/>
<br/>
- tile and laminate flooring<br/>
<br/>
- freshly painted walls and cabinetry<br/>
<br/>
- fans in dining area and bedroom<br/>
<br/>
- fridge<br/>
<br/>
- stove<br/>
<br/>
- a/c unit<br/>
<br/>
amenities:<br/>
<br/>
- washer/dryer on-site<br/>
<br/>
- on-site swimming pool<br/>
<br/>
- on-site parking (1x spot only)<br/>
<br/>
paid amenities:<br/>
<br/>
- trash and water<br/>
<br/>
<br/>
terms:<br/>
<br/>
- 1st month rent + security deposit due with signed lease. credit check is $40.<br/>
<br/>
<br/>
to set up an appointment call or txt chris @  <a class=""show-contact"" data-href=""/reply/lax/apa/7322579176/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>"," (407 N Ave 50, Los Angeles, CA)","$1,995",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-unit-just-became-available/7322579176.html,34.1145,-118.1929,POINT (-118.1929 34.1145),downtown,True
9,9,Washer and Dryer | Pet-Friendly | Renovated 1+1 in Highland Park,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-and-dryer-pet/7326128480.html""></div>
</div>
unit availability: june 05, 2021<br/>
<br/>
5800-20 marmion way highland park, ca 90042  <br/>
<br/>
<br/>
apartment features:<br/>
- central air<br/>
- dishwasher<br/>
- energy efficient appliances<br/>
- electronic thermostat<br/>
- hardwood floors<br/>
- in unit washer and dryer<br/>
- microwave<br/>
- open shelving<br/>
- private patio<br/>
- refrigerator (in select units)<br/>
- walk-in closet<br/>
<br/>
community features:<br/>
- common work space<br/>
- covered parking<br/>
- ev (electric vehicle) charging stations<br/>
- garage<br/>
- laundry facilities<br/>
- mailroom<br/>
- off street parking<br/>
<br/>
<br/>
pet policy<br/>
pets welcome with an additional deposit.<br/>
call for details and restrictions.<br/>
<br/>
square footage is approximate. <br/>
price and availability are subject to change.<br/>
<br/>
5800-20 marmion way highland park, ca 90042  <br/>
<br/>
<br/>
apartment features:<br/>
- central air<br/>
- dishwasher<br/>
- energy efficient appliances<br/>
- electronic thermostat<br/>
- hardwood floors<br/>
- in unit washer and dryer<br/>
- microwave<br/>
- open shelving<br/>
- private patio<br/>
- refrigerator (in select units)<br/>
- walk-in closet<br/>
<br/>
community features:<br/>
- common work space<br/>
- covered parking<br/>
- ev (electric vehicle) charging stations<br/>
- garage<br/>
- laundry facilities<br/>
- mailroom<br/>
- off street parking<br/>
<br/>
<br/>
pet policy<br/>
pets welcome with an additional deposit.<br/>
call for details and restrictions.<br/>
<br/>
square footage is approximate. <br/>
price and availability are subject to change.<br/>
</section>", (Highland Park/Eagle Rock),"$2,000",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-and-dryer-pet/7326128480.html,34.110908,-118.192405,POINT (-118.192405 34.110908),art,True
