,index,word,word_count,count_per_10posts
2,2,central,732,6.777777777777779
20,20,gated,351,3.25
22,22,amenities,338,3.1296296296296293
26,26,private,324,3.0
42,42,restaurants,251,2.324074074074074
48,48,luxury,235,2.175925925925926
56,56,security,225,2.0833333333333335
64,64,walking,216,2.0
92,92,walk,181,1.675925925925926
115,115,prime,160,1.4814814814814814
127,127,historic,148,1.3703703703703705
129,129,modern,148,1.3703703703703705
246,246,lounge,94,0.8703703703703703
272,272,unique,87,0.8055555555555556
332,332,art,73,0.6759259259259259
386,386,stadium,66,0.611111111111111
513,513,luxurious,49,0.4537037037037037
662,662,culture,37,0.3425925925925926
686,686,charming,35,0.32407407407407407
732,732,bars,32,0.2962962962962963
915,915,affordable,25,0.23148148148148145
1027,1027,coming,21,0.19444444444444445
1033,1033,quirky,21,0.19444444444444445
1311,1311,upscale,15,0.1388888888888889
1439,1439,diverse,13,0.12037037037037038
1601,1601,walkable,11,0.10185185185185186
1844,1844,authentic,9,0.08333333333333333
1886,1886,safe,9,0.08333333333333333
2200,2200,outdoors,7,0.06481481481481481
2272,2272,cultural,6,0.05555555555555556
2614,2614,hip,5,0.046296296296296294
2774,2774,accessible,4,0.037037037037037035
3749,3749,beer,2,0.018518518518518517
4086,4086,budget,1,0.009259259259259259
4477,4477,quaint,1,0.009259259259259259
5118,5118,character,1,0.009259259259259259
5256,5256,landmark,1,0.009259259259259259
5494,5494,dense,1,0.009259259259259259
5977,5977,vegan,1,0.009259259259259259
6072,6072,vibe,1,0.009259259259259259
