,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon
0,Koreatown *Los Angeles 1 Br / 1 Ba available,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-koreatown-los-angeles-br-ba/7326447486.html""></div>
</div>
- spacious Koreatown one bedroom one bathroom apartment<br/>
<br/>
- stainless steel appliances, granite counter tops, and tile floors<br/>
<br/>
- located off of 3rd and Vermont right in the heart of Koreatown<br/>
<br/>
- secure building with elevator, and gate code access<br/>
<br/>
- walking distance to bowling alley, Ralphs freeway<br/>
<br/>
- contact listing agent at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326447486/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 for showings    </section>", (Los Angeles),"$1,700",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-koreatown-los-angeles-br-ba/7326447486.html,34.068921,-118.293096
1,2 Bed/ 2 Bath Los Angeles **Koreatown**,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-los-angeles/7326444388.html""></div>
</div>
- spacious Koreatown two bedroom two bathroom apartment<br/>
<br/>
- stainless steel appliances, granite counter tops, and tile floors<br/>
<br/>
- located off of 3rd and Vermont right in the heart of Koreatown<br/>
<br/>
- secure building with elevator, and gate code access<br/>
<br/>
- walking distance to bowling alley, Ralphs freeway<br/>
<br/>
- contact listing agent at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326444388/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 for showings    </section>", (Los Angeles),"$2,300",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-los-angeles/7326444388.html,34.066500,-118.302200
2,830 Crenshaw Blvd. #6 - Spacious 1be/1ba in Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-830-crenshaw-blvd-spacious/7316411831.html""></div>
</div>
Spacious 1 bed 1 bath located in Koreatown. Large unit with lots of natural light and airflow, large private balcony, and a kitchen equipped with a stove/oven and a refrigerator. Unit is located on the top floor the building. Water and trash utilities provided. Laundry facilities on site. 1 assigned parking space comes with unit.    </section>", (Los Angeles),"$1,650",1.0,725.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-830-crenshaw-blvd-spacious/7316411831.html,34.058383,-118.321068
3,Where Koreatown Meets Downtown Los Angeles!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-where-koreatown-meets/7326439371.html""></div>
</div>
<br/>Mariposa on 3rd<br/>269 S. Mariposa<br/>Los Angeles, CA 90004<br/><br/>Receive up to 10 weeks free on all one and two bedrooms with a 13 to 18 month lease term and free parking on select units! Call us today at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326439371/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 to get your appointment scheduled!<br/> <br/><br/>Community Amenities<br/>THE LOBBY • THE ALCOVE • THE LOCUS • THE GOLF SIMULATOR • THE PAW SPA • THE BUTLERBOX • THE STUDIO • THE MOVIE THEATER • THE KIDS CLUB • THE VERANDA • THE VERANDA CLUBHOUSE • COMMERCIAL SPACE<br/><br/><br/><strong>Monday: </strong>9AM-6PM<br/><strong>Tuesday: </strong>9AM-6PM<br/><strong>Wednesday: </strong>9AM-6PM<br/><strong>Thursday: </strong>9AM-6PM<br/><strong>Friday: </strong>9AM-6PM<br/><strong>Saturday: </strong>9AM-6PM<br/><br/><br/>  Pets - Max 2 allowed, Max weight 75 lb each, Rent $75.00, Deposit $500.00 Cats -  allowed Dogs -  allowed<br/><br/> </section>",,"$2,935",1.0,830.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-where-koreatown-meets/7326439371.html,34.076200,-118.302900
4,*2 bedroom/2 bathroom* Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bathroom-koreatown/7326430807.html""></div>
</div>
- spacious Koreatown two bedroom two bathroom apartment<br/>
<br/>
- stainless steel appliances, granite counter tops, and tile floors<br/>
<br/>
- located off of 3rd and Vermont right in the heart of Koreatown<br/>
<br/>
- secure building with elevator, and gate code access<br/>
<br/>
- walking distance to bowling alley, Ralphs freeway<br/>
<br/>
- contact listing agent at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326430807/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 for showings    </section>", (Los Angeles),"$2,300",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bathroom-koreatown/7326430807.html,34.068921,-118.293096
5,Apartment for Rent 1+1 in Koreatown!!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317008588.html""></div>
</div>
Location: 515 S Serrano Ave, Los Angeles CA 90020<br/>
<br/>
Spacious 1+1 located in the center of Koreatown! Pet Friendly.. Hardwood floors throughout and A/C installed. Kitchen features tile countertops and kitchen appliances. Plenty of closet storage space. Bedroom features a walk-in closet and ceiling fan. Controlled access entry property. Laundry on site. Surrounded by coffee shops, restaurants and market places. Parking is not included.<br/>
<br/>
To request a view or for more information please contact Marina  <a class=""show-contact"" data-href=""/reply/lax/apa/7317008588/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or Katie  <a class=""show-contact"" data-href=""/reply/lax/apa/7317008588/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Koreatown),"$1,550",1.0,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317008588.html,34.065267,-118.306709
6,Apartment for Rent 1+1 in Koreatown!! w/ Remodeled Bathroom,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317009708.html""></div>
</div>
Location: 515 S Serrano Ave, Los Angeles CA 90020<br/>
<br/>
Spacious 1+1 located in the center of Koreatown! Pet Friendly.. Hardwood floors throughout and A/C installed. Kitchen features tile countertops and kitchen appliances. Plenty of closet storage space. Bedroom features a walk-in closet and ceiling fan. Controlled access entry property. Laundry on site. Surrounded by coffee shops, restaurants and market places. Parking is not included.<br/>
<br/>
To request a view or for more information please contact Marina  <a class=""show-contact"" data-href=""/reply/lax/apa/7317009708/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or Katie  <a class=""show-contact"" data-href=""/reply/lax/apa/7317009708/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Koreatown),"$1,650",1.0,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317009708.html,34.065267,-118.306709
7,Studio in Koreatown | Gas Range | Refrigerator | Laundry On-Site,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown-gas/7326420376.html""></div>
</div>
Apartment Features Include<br/>
• Disposal<br/>
• Heating<br/>
• Carpeting<br/>
• Hardwood Floors<br/>
• Gas Range<br/>
• Refrigerator<br/>
<br/>
Community Amenities Include:<br/>
• Covered Parking<br/>
• Laundry Facilities On-Site<br/>
<br/>
<br/>
<br/>
We're here to help every step of the way. Call and make an appointment with us today!<br/>
On-site Tours Available By Appointment.    </section>", (Koreatown),"$1,375",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown-gas/7326420376.html,34.081078,-118.299215
8,**2 Move in Specials for Beautiful & Spacious Studio in Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lgb/apa/d/los-angeles-move-in-specials-for/7323480239.html""></div>
</div>
**SPECIAL- Contact Daniel about $100 Amazon Gift Card Special for New Approved Tenants!<br/>
<br/>
&amp;<br/>
<br/>
***$100.00 off the rent for the first 12 months of the lease.<br/>
<br/>
1,000 Security Deposit on Approved Credit<br/>
<br/>
This is a Beautiful, Spacious studio apartment in prime Korea town for $1,345.00 per month, with a one year lease. The walk score in the neighborhood is 96. Walking distance to Ralph🛒, Starbucks☕, 24hr Fitness🤸‍♀️, tons of Restaurants 🍴🥘🥙 and malls👚👞.<br/>
<br/>
This is a Pet Friendly Building. Pet Deposit Required with Pet Rent. Street Parking.🐶🐱<br/>
<br/>
Pictures may not be the exact one available now.<br/>
<br/>
*****ALL UTILITIES INCLUDED!<br/>
<br/>
728 S. Berendo St.<br/>
Los Angeles, CA 90005<br/>
Call/Text: Daniel  <a class=""show-contact"" data-href=""/reply/lax/apa/7323480239/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Los Angeles),"$1,345",,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-move-in-specials-for/7323480239.html,34.059368,-118.294208
9,**2 Move in Specials for Beautiful & Spacious Studio in Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">QR Code Link to This Post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/ant/apa/d/los-angeles-move-in-specials-for/7323480386.html""></div>
</div>
**SPECIAL- Contact Daniel about $100 Amazon Gift Card Special for New Approved Tenants!<br/>
<br/>
&amp;<br/>
<br/>
***$100.00 off the rent for the first 12 months of the lease.<br/>
<br/>
1,000 Security Deposit on Approved Credit<br/>
<br/>
This is a Beautiful, Spacious Studio In prime Korea town for $1,350.00 per month, with a one year lease. The walk score in the neighborhood is 96. Walking distance to Ralphs, Starbucks, 24hr Fitness, tons of Restaurants and malls.<br/>
<br/>
This is a Pet Friendly Building. Pet Deposit Required with Pet Rent.🐶🐱<br/>
Street Parking.<br/>
<br/>
May not include exact images of available unit.<br/>
<br/>
*****ALL UTILITIES INCLUDED!<br/>
<br/>
720 S. Berendo St.<br/>
Los Angeles 90005<br/>
Text / Call Daniel:  <a class=""show-contact"" data-href=""/reply/lax/apa/7323480386/__SERVICE_ID__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Los Angeles),"$1,350",,,https://losangeles.craigslist.org/ant/apa/d/los-angeles-move-in-specials-for/7323480386.html,34.059523,-118.294208
